Date,equity
2015-01-01,1.0019903759757496
2015-01-02,1.0023660803128067
2015-01-05,1.0169856266479627
2015-01-06,1.014943008337193
2015-01-07,1.0183326192395474
2015-01-08,1.0211650427867667
2015-01-09,1.0222470294765897
2015-01-12,1.0115991042069299
2015-01-13,1.0154424271788938
2015-01-14,1.0151914267163034
2015-01-15,1.0137906238343029
2015-01-16,1.0142698062858733
2015-01-19,1.0193267260666472
2015-01-20,1.0208576658834039
2015-01-21,1.0234081384023666
2015-01-22,1.022330947296333
2015-01-23,1.0363024566368766
2015-01-26,1.0442548104037852
2015-01-27,1.040190193767597
2015-01-28,1.0338923782540916
2015-01-29,1.0372456217221544
2015-01-30,1.0424083180807073
2015-02-02,1.0407618623072594
2015-02-03,1.0414422147840914
2015-02-04,1.0378735236516294
2015-02-05,1.039322119725994
2015-02-06,1.032069916424208
2015-02-09,1.0410390183569416
2015-02-10,1.0391939040950848
2015-02-11,1.0403336146871545
2015-02-12,1.0445443157034995
2015-02-13,1.0359825552482742
2015-02-16,1.0349340024205553
2015-02-17,1.0373091487298856
2015-02-18,1.035327296516861
2015-02-19,1.0328459358497402
2015-02-20,1.034885039170013
2015-02-23,1.0336120357943408
2015-02-24,1.0345642442807355
2015-02-25,1.0331076778021482
2015-02-26,1.0292716326247346
2015-02-27,1.0384248020565436
2015-03-02,1.041075208361121
2015-03-03,1.0434701986896833
2015-03-04,1.0399032472585557
2015-03-05,1.0440372417546433
2015-03-06,1.0475824453233107
2015-03-09,1.0592345703307
2015-03-10,1.0612762392407553
2015-03-11,1.0651276366791336
2015-03-12,1.0738525301380843
2015-03-13,1.0690652179455236
2015-03-16,1.0784504211903398
2015-03-17,1.07403041272301
2015-03-18,1.075641717418373
2015-03-19,1.0574861646633948
2015-03-20,1.0701306567173263
2015-03-23,1.0581128799153003
2015-03-24,1.0526789695786851
2015-03-25,1.0559931358509216
2015-03-26,1.054463189445645
2015-03-27,1.0551431289959123
2015-03-30,1.0575702162931673
2015-03-31,1.0640014716651602
2015-04-01,1.066444101749761
2015-04-02,1.0648500859042602
2015-04-03,1.0642601012954882
2015-04-06,1.056110696094691
2015-04-07,1.061206870157856
2015-04-08,1.0648795847717958
2015-04-09,1.0627235392193213
2015-04-10,1.0685147371557657
2015-04-13,1.0711121379527904
2015-04-14,1.073179899084186
2015-04-15,1.0674024254277112
2015-04-16,1.063081598104352
2015-04-17,1.056554937482363
2015-04-20,1.0535396126635999
2015-04-21,1.0593325507798745
2015-04-22,1.0604864848766935
2015-04-23,1.0587849644902367
2015-04-24,1.0549215195729225
2015-04-27,1.0479438892822823
2015-04-28,1.0465855569780236
2015-04-29,1.0383121538533064
2015-04-30,1.0345806643638766
2015-05-01,1.0380701196760609
2015-05-04,1.0464499841169
2015-05-05,1.0470815468309507
2015-05-06,1.042442051718691
2015-05-07,1.0361227492583382
2015-05-08,1.0373014142604513
2015-05-11,1.0373730609105083
2015-05-12,1.037692973250117
2015-05-13,1.031346652425021
2015-05-14,1.022439655229213
2015-05-15,1.0217455242284623
2015-05-18,1.02296639783034
2015-05-19,1.0295959697716406
2015-05-20,1.0394853727459332
2015-05-21,1.0428475742284333
2015-05-22,1.0394522479417343
2015-05-25,1.0486832274948275
2015-05-26,1.0488216881649755
2015-05-27,1.058403247482024
2015-05-28,1.0617861712921721
2015-05-29,1.0634791865751885
2015-06-01,1.0655914810559708
2015-06-02,1.0707342488056784
2015-06-03,1.0576033794446205
2015-06-04,1.0566135044025566
2015-06-05,1.0591551832688
2015-06-08,1.0682807500797022
2015-06-09,1.0588122902341186
2015-06-10,1.0569157829120746
2015-06-11,1.0494723163105455
2015-06-12,1.0522194480533755
2015-06-15,1.0512434915816988
2015-06-16,1.0491237009469159
2015-06-17,1.0493155789492496
2015-06-18,1.0436269624517363
2015-06-19,1.0396886330828419
2015-06-22,1.0394332252594363
2015-06-23,1.043808626975319
2015-06-24,1.0498734315321425
2015-06-25,1.050696567454129
2015-06-26,1.048661337858982
2015-06-29,1.0540545820061842
2015-06-30,1.0475198677646465
2015-07-01,1.048416238771501
2015-07-02,1.0561040345054598
2015-07-03,1.0543003333596646
2015-07-06,1.0594638012610185
2015-07-07,1.0583616448206774
2015-07-08,1.062010855622573
2015-07-09,1.058723803207927
2015-07-10,1.060113789290898
2015-07-13,1.0594549875446637
2015-07-14,1.0664520404648705
2015-07-15,1.0609192194806973
2015-07-16,1.0657537180869685
2015-07-17,1.0667021713307823
2015-07-20,1.0692814234131371
2015-07-21,1.0699297625096604
2015-07-22,1.0656941340108377
2015-07-23,1.0668969766601557
2015-07-24,1.067674009049913
2015-07-27,1.0701295880576762
2015-07-28,1.0656396926617804
2015-07-29,1.063780294377881
2015-07-30,1.0679622827041793
2015-07-31,1.0692444330627082
2015-08-03,1.0679418175879614
2015-08-04,1.0694727682725822
2015-08-05,1.0688884164357146
2015-08-06,1.0697943450676166
2015-08-07,1.0716700563902737
2015-08-10,1.068295814868884
2015-08-11,1.0657318867325862
2015-08-12,1.0699098803095786
2015-08-13,1.062222715308216
2015-08-14,1.0626670187228056
2015-08-17,1.0633296544583581
2015-08-18,1.0654798562587546
2015-08-19,1.0652304199823885
2015-08-20,1.0611770744301738
2015-08-21,1.0578136377647875
2015-08-24,1.053086175299625
2015-08-25,1.0420773654681499
2015-08-26,1.0455646788198172
2015-08-27,1.0578736937044253
2015-08-28,1.0616549322510567
2015-08-31,1.0640019867403194
2015-09-01,1.065759373967389
2015-09-02,1.0662079241963187
2015-09-03,1.0682932354608308
2015-09-04,1.0708929458929104
2015-09-07,1.0727484411262473
2015-09-08,1.070649074551556
2015-09-09,1.065266549095711
2015-09-10,1.0689502288405741
2015-09-11,1.0626494116623917
2015-09-14,1.0609918706772907
2015-09-15,1.059239185648582
2015-09-16,1.0631958761907994
2015-09-17,1.0562996082660716
2015-09-18,1.0521774190137947
2015-09-21,1.0550396246888478
2015-09-22,1.0606187968974028
2015-09-23,1.066463818851378
2015-09-24,1.0701790525781736
2015-09-25,1.0707075297036852
2015-09-28,1.0708114734372973
2015-09-29,1.071366370953072
2015-09-30,1.0699507967449167
2015-10-01,1.0724698621712585
2015-10-02,1.0705852924848283
2015-10-05,1.0685576633196618
2015-10-06,1.0701875939872258
2015-10-07,1.0637057728922943
2015-10-08,1.0599533946399504
2015-10-09,1.055644069891289
2015-10-12,1.0536463523508073
2015-10-13,1.0522271056244368
2015-10-14,1.0565557584204428
2015-10-15,1.0434441656839792
2015-10-16,1.0463553675540802
2015-10-19,1.0498978475005987
2015-10-20,1.050558593947051
2015-10-21,1.0509264508126528
2015-10-22,1.053358552396807
2015-10-23,1.0633627474786216
2015-10-26,1.0670079871177565
2015-10-27,1.0633231449326528
2015-10-28,1.0655532148014062
2015-10-29,1.0727507026844794
2015-10-30,1.0708016789493242
2015-11-02,1.0645165582349159
2015-11-03,1.0652152587061274
2015-11-04,1.0662528676669705
2015-11-05,1.071667165562105
2015-11-06,1.0757291671419333
2015-11-09,1.0901025281963872
2015-11-10,1.0873261196953143
2015-11-11,1.0875671603723565
