timestamp,ticker,label,hurst,zscore,csd,iv_spread,adx,volatility
2024-05-01 13:30:00+00:00,NVDA,0,0.0,0.0,,1.0,0.0,
2024-05-01 14:30:00+00:00,NVDA,0,0.0,0.0,,1.0,0.0,
2024-05-01 15:30:00+00:00,NVDA,0,0.0,0.0,,1.0,0.0,
2024-05-01 16:30:00+00:00,NVDA,0,0.0,0.0,,1.0,0.0,
2024-05-01 17:30:00+00:00,NVDA,0,0.0,0.0,,1.0,0.0,
2024-05-01 18:30:00+00:00,NVDA,0,0.0,0.0,,1.0,0.0,
2024-05-01 19:30:00+00:00,NVDA,0,0.0,0.0,,1.0,0.0,
2024-05-02 13:30:00+00:00,NVDA,0,0.0,0.0,,1.0,0.0,
2024-05-02 14:30:00+00:00,NVDA,0,0.0,0.0,,1.0,0.0,
2024-05-02 15:30:00+00:00,NVDA,0,0.0,0.0,,1.0,0.0,
2024-05-02 16:30:00+00:00,NVDA,0,0.0,0.0,,1.0,0.0,
2024-05-02 17:30:00+00:00,NVDA,0,0.0,0.0,,1.0,0.0,
2024-05-02 18:30:00+00:00,NVDA,0,0.0,0.0,,1.0,0.0,
2024-05-02 19:30:00+00:00,NVDA,0,0.0,0.0,,1.0,55.44304153166528,
2024-05-03 13:30:00+00:00,NVDA,0,0.0,0.0,,1.0,65.02437893426192,
2024-05-03 14:30:00+00:00,NVDA,0,0.0,0.0,,1.0,68.2123193497511,
2024-05-03 15:30:00+00:00,NVDA,0,0.0,0.0,,1.0,70.0521959287292,
2024-05-03 16:30:00+00:00,NVDA,0,0.0,0.0,,1.0,71.50709224309682,
2024-05-03 17:30:00+00:00,NVDA,0,0.0,0.0,,1.0,72.54813565126264,
2024-05-03 18:30:00+00:00,NVDA,0,0.0,1.4483214096474841,,1.0,73.30338268595479,0.0260729511316435
2024-05-03 19:30:00+00:00,NVDA,1,0.0,1.2676530961841528,,1.0,73.83749425984783,0.026902435132423012
2024-05-06 13:30:00+00:00,NVDA,0,0.0,1.9661012470653527,,1.0,75.53978708908771,0.02816806078620964
2024-05-06 14:30:00+00:00,NVDA,0,0.0,1.8887270640719538,,1.0,75.97412790311094,0.029185003445512208
2024-05-06 15:30:00+00:00,NVDA,0,0.0,1.6753045028392175,,1.0,76.40123948888393,0.029128852090418562
2024-05-06 16:30:00+00:00,NVDA,0,0.0,1.531414552783207,,1.0,76.52837640327049,0.029769171454474143
2024-05-06 17:30:00+00:00,NVDA,0,0.0,1.4288462389658452,,1.0,76.63479385175354,0.0308000221294345
2024-05-06 18:30:00+00:00,NVDA,0,0.0,1.3369871530963007,,1.0,76.84748620461616,0.02975962459791051
2024-05-06 19:30:00+00:00,NVDA,0,0.0,1.2810414524818827,,1.0,76.52811079534393,0.029181237778799024
2024-05-07 13:30:00+00:00,NVDA,0,0.0,0.30381031049566043,,1.0,70.18306916282285,0.028064021720921158
2024-05-07 14:30:00+00:00,NVDA,0,0.0,0.5030244357948511,,1.0,64.66405920666732,0.025738204195142295
2024-05-07 15:30:00+00:00,NVDA,0,0.0,0.8406360577497628,,1.0,60.61270732805868,0.024016121691979225
2024-05-07 16:30:00+00:00,NVDA,0,0.0,0.8673899505414729,,1.0,57.192181838507246,0.02177212121238665
2024-05-07 17:30:00+00:00,NVDA,0,0.0,0.04282807236854835,,1.0,52.504290692256816,0.019704580313831415
2024-05-07 18:30:00+00:00,NVDA,0,0.0,0.03625353010269173,,1.0,48.103026027043306,0.016232822094718633
2024-05-07 19:30:00+00:00,NVDA,0,0.0,0.07446661915736053,,1.0,44.256723029525,0.014910331378871254
2024-05-08 13:30:00+00:00,NVDA,0,0.0,0.32607583920910926,,1.0,40.474573988984446,0.013503327601862694
2024-05-08 14:30:00+00:00,NVDA,0,0.0,-0.6032347895035709,,1.0,37.07658576764278,0.012697103776559054
2024-05-08 15:30:00+00:00,NVDA,0,0.0,-0.5379716954649537,,1.0,34.01506145285812,0.011831833396418844
