ticker,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
AMD,2016-09-30,2016-10-20,0.03,0.004,0.026,650,post-market
AMD,2016-12-31,2017-01-31,-0.01,-0.02,0.01,50,post-market
AMD,2017-03-31,2017-05-01,-0.04,-0.04,0,0,post-market
AMD,2017-06-30,2017-07-25,0.02,0.0003,0.0197,6566.6667,post-market
AMD,2017-09-30,2017-10-24,0.1,0.08,0.02,25,post-market
AMD,2017-12-31,2018-01-30,0.08,0.05,0.03,60,post-market
AMD,2018-03-31,2018-04-25,0.11,0.09,0.02,22.2222,post-market
AMD,2018-06-30,2018-07-25,0.14,0.13,0.01,7.6923,post-market
AMD,2018-09-30,2018-10-24,0.13,0.12,0.01,8.3333,post-market
AMD,2018-12-31,2019-01-29,0.08,0.08,0,0,post-market
AMD,2019-03-31,2019-04-30,0.06,0.06,0,0,post-market
AMD,2019-06-30,2019-07-30,0.08,0.08,0,0,post-market
AMD,2019-09-30,2019-10-29,0.18,0.18,0,0,post-market
AMD,2019-12-31,2020-01-28,0.32,0.31,0.01,3.2258,post-market
AMD,2020-03-31,2020-04-28,0.18,0.18,0,0,post-market
AMD,2020-06-30,2020-07-28,0.18,0.17,0.01,5.8824,post-market
AMD,2020-09-30,2020-10-27,0.41,0.36,0.05,13.8889,pre-market
AMD,2020-12-31,2021-01-26,0.52,0.48,0.04,8.3333,post-market
AMD,2021-03-31,2021-04-27,0.52,0.44,0.08,18.1818,post-market
AMD,2021-06-30,2021-07-27,0.63,0.54,0.09,16.6667,post-market
AMD,2021-09-30,2021-10-26,0.73,0.66,0.07,10.6061,post-market
AMD,2021-12-31,2022-02-01,0.92,0.76,0.16,21.0526,post-market
AMD,2022-03-31,2022-05-03,1.13,0.92,0.21,22.8261,post-market
AMD,2022-06-30,2022-08-02,1.05,1.04,0.01,0.9615,post-market
AMD,2022-09-30,2022-11-01,0.67,0.7,-0.03,-4.2857,post-market
AMD,2022-12-31,2023-01-31,0.69,0.67,0.02,2.9851,post-market
AMD,2023-03-31,2023-05-02,0.6,0.56,0.04,7.1429,post-market
AMD,2023-06-30,2023-08-01,0.58,0.57,0.01,1.7544,post-market
AMD,2023-09-30,2023-10-31,0.7,0.68,0.02,2.9412,post-market
AMD,2023-12-31,2024-01-30,0.77,0.77,0,0,post-market
AMD,2024-03-31,2024-04-30,0.62,0.61,0.01,1.6393,post-market
AMD,2024-06-30,2024-07-30,0.69,0.68,0.01,1.4706,post-market
AMD,2024-09-30,2024-10-29,0.92,0.92,0,0,post-market
AMD,2024-12-31,2025-02-04,1.09,1.09,0,0,post-market
AMD,2025-03-31,2025-05-06,0.96,0.93,0.03,3.2258,post-market
AMD,2025-06-30,2025-08-05,0.48,0.48,0,0,post-market
AMD,2025-09-30,2025-11-04,1.2,1.17,0.03,2.5641,post-market
AMD,2025-12-31,2026-02-03,1.53,1.32,0.21,15.9091,post-market
AMD,2026-03-31,2026-05-05,1.37,1.29,0.08,6.2016,post-market
AMZN,1997-06-30,1997-07-10,-0.02,-0.03,0.01,33.3333,pre-market
AMZN,1997-09-30,1997-10-27,-0.03,-0.03,0,0,pre-market
AMZN,1997-12-31,1998-01-22,-0.03,-0.04,0.01,25,pre-market
AMZN,1998-03-31,1998-04-27,-0.03,-0.04,0.01,25,pre-market
AMZN,1998-06-30,1998-07-22,-0.07,-0.07,0,0,pre-market
AMZN,1998-09-30,1998-10-28,-0.08,-0.1,0.02,20,pre-market
AMZN,1998-12-31,1999-01-26,-0.07,-0.09,0.02,22.2222,pre-market
AMZN,1999-03-31,1999-04-28,-0.01,-0.01,0,0,pre-market
AMZN,1999-06-30,1999-07-21,-0.01,-0.01,0,0,pre-market
AMZN,1999-09-30,1999-10-27,-0.01,-0.01,0,0,pre-market
AMZN,1999-12-31,2000-02-02,-0.03,-0.02,-0.01,-50,pre-market
AMZN,2000-03-31,2000-04-26,-0.02,-0.02,0,0,pre-market
AMZN,2000-06-30,2000-07-26,-0.02,-0.02,0,0,pre-market
AMZN,2000-09-30,2000-10-24,-0.01,-0.01,0,0,pre-market
AMZN,2000-12-31,2001-01-30,-0.01,-0.01,0,0,pre-market
AMZN,2001-03-31,2001-04-24,-0.01,-0.01,0,0,pre-market
AMZN,2001-06-30,2001-07-23,-0.01,-0.01,0,0,pre-market
AMZN,2001-09-30,2001-10-23,-0.01,-0.01,0,0,pre-market
AMZN,2001-12-31,2002-01-22,0.09,-0.07,0.16,228.5714,pre-market
AMZN,2002-03-31,2002-04-23,-0.01,-0.01,0,0,post-market
AMZN,2002-06-30,2002-07-23,-0.01,-0.01,0,0,post-market
AMZN,2002-09-30,2002-10-24,-0.0924,-0.04,-0.0524,-131,post-market
AMZN,2002-12-31,2003-01-23,0.01,0.01,0,0,post-market
AMZN,2003-03-31,2003-04-24,0.01,0.04,-0.03,-75,post-market
AMZN,2003-06-30,2003-07-22,0.01,0.06,-0.05,-83.3333,post-market
AMZN,2003-09-30,2003-10-21,0.01,0.1,-0.09,-90,post-market
AMZN,2003-12-31,2004-01-27,0.01,0.01,0,0,post-market
AMZN,2004-03-31,2004-04-22,0.01,0.01,0,0,post-market
AMZN,2004-06-30,2004-07-22,0.01,0.01,0,0,post-market
AMZN,2004-09-30,2004-10-21,0.01,0.01,0,0,post-market
AMZN,2004-12-31,2005-02-02,0.02,0.02,0,0,post-market
AMZN,2005-03-31,2005-04-26,0.01,0.01,0,0,post-market
AMZN,2005-06-30,2005-07-26,0.01,0.01,0,0,post-market
AMZN,2005-09-30,2005-10-25,0.01,0.01,0,0,post-market
AMZN,2005-12-31,2006-02-02,0.01,0.01,0,0,post-market
AMZN,2006-03-31,2006-04-25,0.01,0.01,0,0,post-market
AMZN,2006-06-30,2006-07-25,0.05,0.06,-0.01,-16.6667,post-market
AMZN,2006-09-30,2006-10-24,0.05,0.03,0.02,66.6667,post-market
AMZN,2006-12-31,2007-02-01,0.01,0.01,0,0,post-market
AMZN,2007-03-31,2007-04-24,0.01,0.01,0,0,post-market
AMZN,2007-06-30,2007-07-24,0.01,0.01,0,0,post-market
AMZN,2007-09-30,2007-10-23,0.01,0.01,0,0,post-market
AMZN,2007-12-31,2008-01-30,0.02,0.02,0,0,post-market
AMZN,2008-03-31,2008-04-23,0.02,0.02,0,0,post-market
AMZN,2008-06-30,2008-07-23,0.02,0.01,0.01,100,post-market
AMZN,2008-09-30,2008-10-22,0.01,0.01,0,0,post-market
AMZN,2008-12-31,2009-01-29,0.03,0.02,0.01,50,post-market
AMZN,2009-03-31,2009-04-23,0.02,0.02,0,0,post-market
AMZN,2009-06-30,2009-07-23,0.02,0.02,0,0,post-market
AMZN,2009-09-30,2009-10-22,0.02,0.02,0,0,post-market
AMZN,2009-12-31,2010-01-28,0.04,0.04,0,0,post-market
AMZN,2010-03-31,2010-04-22,0.03,0.03,0,0,post-market
AMZN,2010-06-30,2010-07-22,0.02,0.03,-0.01,-33.3333,post-market
AMZN,2010-09-30,2010-10-21,0.03,0.02,0.01,50,post-market
AMZN,2010-12-31,2011-01-27,0.05,0.04,0.01,25,post-market
AMZN,2011-03-31,2011-04-26,0.02,0.03,-0.01,-33.3333,post-market
AMZN,2011-06-30,2011-07-26,0.02,0.02,0,0,post-market
AMZN,2011-09-30,2011-10-25,0.01,0.01,0,0,post-market
AMZN,2011-12-31,2012-01-31,0.02,0.01,0.01,100,post-market
AMZN,2012-03-31,2012-04-26,0.01,0.07,-0.06,-85.7143,post-market
AMZN,2012-06-30,2012-07-26,0.01,0.02,-0.01,-50,post-market
AMZN,2012-09-30,2012-10-25,-0.03,-0.08,0.05,62.5,post-market
AMZN,2012-12-31,2013-01-29,0.01,0.01,0,0,post-market
AMZN,2013-03-31,2013-04-25,0.01,0.08,-0.07,-87.5,post-market
AMZN,2013-06-30,2013-07-25,-0.02,0.05,-0.07,-140,post-market
