date,atr14,atr14_pct,rsi14,realized_vol_20d,dist_52w_high_pct,dist_52w_low_pct,ret_5d,ret_20d,ret_60d,zscore_20d,instrument,volume_ratio_20d
2015-01-01,,,,,,,,,,,GBPUSD=X,
2015-01-02,,,0.0,,,,,,,,GBPUSD=X,
2015-01-05,,,0.0,,,,,,,,GBPUSD=X,
2015-01-06,,,0.0,,,,,,,,GBPUSD=X,
2015-01-07,,,0.0,,,,,,,,GBPUSD=X,
2015-01-08,,,0.0,,,,-3.0381318286831216,,,,GBPUSD=X,
2015-01-09,,,0.0,,,,-3.15639414358182,,,,GBPUSD=X,
2015-01-12,,,21.76902290468263,,,,-0.6242828682648915,,,,GBPUSD=X,
2015-01-13,,,20.848276196750163,,,,-0.576470734379464,,,,GBPUSD=X,
2015-01-14,,,20.848276196750163,,,,0.21390445921065648,,,,GBPUSD=X,
2015-01-15,,,32.011372826405704,,,,0.8394127898007975,,,,GBPUSD=X,
2015-01-16,,,28.424174251329816,,,,0.6178703281368492,,,,GBPUSD=X,
2015-01-19,,,26.10941362458101,,,,-0.31192446130539064,,,,GBPUSD=X,
2015-01-20,0.01319239820752825,0.8742470003591061,23.37629936350055,,,,-0.5296553315255137,,,,GBPUSD=X,
2015-01-21,0.01385814802987235,0.9148871949914594,31.83830331311931,,,,-0.15147153940456848,,,,GBPUSD=X,
2015-01-22,0.013470487935202462,0.8894428388927551,31.672607828052065,,,,-0.5876196494001173,,,,GBPUSD=X,
2015-01-23,0.012160820620400565,0.8100079215757761,24.5074029701901,,,,-1.1064709326800481,,,,GBPUSD=X,
2015-01-26,0.011807543890816825,0.7873860424841774,23.7456214780632,,,,-0.9657362761906985,,,,GBPUSD=X,
2015-01-27,0.012063596929822649,0.7996837965189395,34.991104256194646,,,,-0.030177541904918836,,,,GBPUSD=X,
2015-01-28,0.012292921543121338,0.8093782879361857,44.99982939038038,,,,0.2688220489799553,,,-0.009271169795962531,GBPUSD=X,
2015-01-29,0.012431059564862932,0.8209471574571824,41.90220611280522,9.405861804798059,,,-0.016655607532178873,-2.8149606479944245,,-0.20923535275401292,GBPUSD=X,
2015-01-30,0.012740331036703927,0.8449004902670407,38.00829622108443,9.441344880166945,,,0.4388043666842867,-3.213344762735215,,-0.8662514550170733,GBPUSD=X,
2015-02-02,0.012517622538975306,0.8296930410717798,38.77956726352602,6.892574460270577,,,0.6080073593025093,-1.2944637274066473,,-0.6907328589348035,GBPUSD=X,
2015-02-03,0.012562240873064314,0.8359166407333042,35.27973605962795,6.98073661861606,,,-0.3802095680622064,-1.5088195272214944,,-1.4778793976753537,GBPUSD=X,
2015-02-04,0.013463641916002547,0.8891523344344692,45.52002177473135,7.043234738144966,,,-0.302832535562203,0.02726271905855171,,0.32938165761709726,GBPUSD=X,
2015-02-05,0.01366253410066877,0.9000331308178622,48.44246126556266,7.052736317115736,,,0.24894676670723648,0.47968361444614693,,0.8568519485251382,GBPUSD=X,
2015-02-06,0.014451563358306885,0.9429500756088396,57.81558331089811,7.762514073926432,,,1.6367995656346057,1.5770302229625166,,2.433734974970075,GBPUSD=X,
2015-02-09,0.01432126760482788,0.9397758972168636,51.77780052308627,7.752774524007326,,,1.0072979977697516,0.32611390465777657,,1.2430356524435822,GBPUSD=X,
2015-02-10,0.01402818305151803,0.9219321263141759,50.28364513984784,7.759328807442772,,,1.2507688502569225,0.30128503280297814,,0.9104835778435615,GBPUSD=X,
2015-02-11,0.013608123574938093,0.8916314003953084,53.19714673377571,7.824840557457711,,,0.7921038705186456,0.6043852723709886,,1.348231722043484,GBPUSD=X,
2015-02-12,0.013460252966199602,0.8830599380761633,51.82359738244331,7.7028748050582925,,,0.413077307754639,0.05486901899718344,,1.1125074392192238,GBPUSD=X,
2015-02-13,0.014187804290226527,0.9217674327343387,60.34413544556172,8.313955258248596,,,0.4309793306799481,1.388357649838401,,2.296702879973675,GBPUSD=X,
2015-02-16,0.01309417826788766,0.8502442866810888,60.771407574436076,8.224097433072036,,,1.0595521386295603,1.7063684319832628,,1.9919270729408147,GBPUSD=X,
2015-02-17,0.012727916240692139,0.8288419082813858,57.32411617636837,8.187044614757095,,,0.9213686066709803,1.7644303159477959,,1.4267619849873638,GBPUSD=X,
2015-02-18,0.012747091906411307,0.8302435699846261,57.10098808612692,8.120842863837554,,,0.5987782611466708,1.3603144898452824,,1.2619670623687311,GBPUSD=X,
2015-02-19,0.012505301407405309,0.8099809255078684,61.92846068283825,8.294452268818429,,,1.28761211890287,1.9422201547019347,,1.6802535709650879,GBPUSD=X,
2015-02-20,0.012584481920514787,0.8161161886232918,60.30210695232015,7.528563489091688,,,0.1819588715947562,2.7092912137888003,,1.396467008469026,GBPUSD=X,
2015-02-23,0.012528666428157262,0.8141252898182078,57.66034739783937,7.571730803101782,,,-0.07386870690749836,2.6223000316468514,,1.0842053031770404,GBPUSD=X,
2015-02-24,0.011493188994271415,0.7437817169065721,61.39480363205189,7.447232975544779,,,0.6258224316862071,2.4322064703744095,,1.412052566951935,GBPUSD=X,
2015-02-25,0.010894860540117537,0.7047558796726517,61.778643524783234,7.150242077377447,,,0.6879204583817522,1.7839750626044593,,1.3069501481059842,GBPUSD=X,
2015-02-26,0.01077497856957572,0.6938655159894505,65.62366027621871,7.104045846261056,,,0.5823408496122839,2.552952162889377,,1.5988930997969242,GBPUSD=X,
2015-02-27,0.010929865496499198,0.7089001871779389,55.997017242533175,7.473460466602955,,,-0.01234615336148659,2.247942132257874,,0.7472928444305353,GBPUSD=X,
2015-03-02,0.011040943009512765,0.7166565626315833,55.065101824702865,7.5013172484249715,,,0.11092757451900415,2.115268114877633,,0.5854887025829599,GBPUSD=X,
2015-03-03,0.010869588170732771,0.7076971614310265,51.4115243609958,7.432386573379218,,,-0.6036157232163886,2.2024932245195084,,0.09674552449318145,GBPUSD=X,
2015-03-04,0.010441226618630546,0.6794732541968157,51.96210082350153,7.02681824242352,,,-0.5977561991845182,1.4828782151517617,,0.06939141156110513,GBPUSD=X,
2015-03-05,0.010174410683768136,0.6665154492346971,44.637142570631966,7.455892356696298,,,-1.6990007675066088,0.560235264257658,,-1.183493635493029,GBPUSD=X,
2015-03-06,0.01111696447644915,0.7290949903246153,43.502084611371416,6.6012529067299655,,,-1.105445766633062,-0.51079233443585,,-1.2888046102259119,GBPUSD=X,
2015-03-09,0.01192387512751988,0.791876486119217,33.518443170033535,7.689638233497065,,,-2.2616763507258497,-1.1895642950008667,,-2.7216957491557072,GBPUSD=X,
2015-03-10,0.011669729437146868,0.7725827483234405,37.35743110113845,7.7913632372427735,,,-1.6554845751091118,-0.7310780400502481,,-2.04865875282149,GBPUSD=X,
2015-03-11,0.012072299207959856,0.8004416919974608,36.26618991351539,7.696281409507663,,,-1.8520723706233144,-1.1794197740233048,,-1.9514326355995675,GBPUSD=X,
2015-03-12,0.012742774827139718,0.8533326089359345,30.074380481542846,8.37606965137827,,,-2.175728192035842,-2.032364196811065,,-2.4602886232420644,GBPUSD=X,
2015-03-13,0.01346346310206822,0.9039503810961221,28.696920577039677,7.348458965508836,,,-2.3190019070207013,-3.234986166432341,,-2.194739672471731,GBPUSD=X,
2015-03-16,0.01394216503415789,0.9448605386133535,24.41915650926117,7.777098166057191,,,-2.005311703346424,-4.1862184973341705,,-2.3364830610573972,GBPUSD=X,
2015-03-17,0.01415302072252546,0.9546212352163732,30.101668409214682,8.141380416620601,,,-1.8472954612035464,-3.4544090955209605,,-1.7363227428928678,GBPUSD=X,
2015-03-18,0.014394649437495641,0.9757700974215691,27.737141795565776,8.196914002106476,,,-2.187738949383866,-3.9166821177017974,,-1.7593938090839083,GBPUSD=X,
2015-03-19,0.015367814472743444,1.0271232790145977,41.76633561597289,9.694232937635714,,,0.19449705220893065,-3.0896494511927775,,-0.8584343165021902,GBPUSD=X,
2015-03-20,0.01657423802784511,1.1227885748286275,34.818890535429304,10.562832351856652,,,-0.8886493431215947,-4.269078730345399,,-1.4493539796403756,GBPUSD=X,
2015-03-23,0.017555398600442067,1.1748072690757807,43.92261841036419,11.744448364901016,,,1.2701753223749668,-2.8974871186128737,,-0.6966035558732482,GBPUSD=X,
