symbol,entry_date,exit_date,entry_price,exit_price,direction,confidence,game_score,reason,pnl,equity,win,mae,mfe
ES,2026-01-01T09:30:00+00:00,2026-01-02T15:00:00+00:00,681.82,681.72,SHORT,0.6469033897919023,0.5,TAKE_PROFIT,12.264538554450086,86661.22942571969,True,,
NQ,2026-01-01T09:30:00+00:00,2026-01-02T14:00:00+00:00,613.79,622.7921699999999,SHORT,0.6640772154931349,0.5,STOP_LOSS,-965.2967357319948,85695.93268998769,False,,
SPY,2026-01-01T09:30:00+00:00,2026-01-02T15:00:00+00:00,681.82,681.72,SHORT,0.6469033897919023,0.5,TAKE_PROFIT,12.264538554450086,85708.19722854214,True,,
QQQ,2026-01-01T09:30:00+00:00,2026-01-02T14:00:00+00:00,613.79,622.7921699999999,SHORT,0.6640772154931349,0.5,STOP_LOSS,-965.2967357319948,84742.90049281013,False,,
IWM,2026-01-01T09:30:00+00:00,2026-01-02T15:00:00+00:00,246.33,246.01,SHORT,0.7108773120747448,0.5,TAKE_PROFIT,88.14426945834079,84831.04476226847,True,,
DIA,2026-01-01T09:30:00+00:00,2026-01-02T15:00:00+00:00,480.61,480.37,SHORT,0.6478364902467093,0.5,TAKE_PROFIT,36.45636388941679,84867.50112615789,True,,
VTI,2026-01-01T09:30:00+00:00,2026-01-02T15:00:00+00:00,335.26,335.22,SHORT,0.6651983249447037,0.5,TAKE_PROFIT,9.02593384240503,84876.5270600003,True,,
TLT,2026-01-01T09:30:00+00:00,2026-01-02T19:00:00+00:00,87.19,87.03,SHORT,0.6570427365049667,0.5,TAKE_PROFIT,146.0449069580448,85022.57196695835,True,,
LQD,2026-01-01T09:30:00+00:00,2026-01-08T09:30:00+00:00,110.2,110.565,SHORT,0.6853527740821277,0.5,TIME_EXIT,-468.54625457502726,84554.02571238331,False,,
PLTR,2026-01-01T09:30:00+00:00,2026-01-02T14:00:00+00:00,177.84,177.27,SHORT,0.7098372411955118,0.5,TAKE_PROFIT,65.34909174932108,84619.37480413263,True,,
META,2026-01-01T09:30:00+00:00,2026-01-02T15:00:00+00:00,660.11,654.445,SHORT,0.6743264451232116,0.5,TAKE_PROFIT,346.65705232047526,84966.0318564531,True,,
TSLA,2026-01-01T09:30:00+00:00,2026-01-02T15:00:00+00:00,449.81,449.39,SHORT,0.6345657549759027,0.5,TAKE_PROFIT,22.602072288907635,84988.63392874201,True,,
XLF,2026-01-01T09:30:00+00:00,2026-01-02T15:00:00+00:00,54.77,54.74,SHORT,0.6739361413707584,0.5,TAKE_PROFIT,35.16189879479237,85023.7958275368,True,,
SPG,2026-01-01T09:30:00+00:00,2026-01-02T15:00:00+00:00,185.165,183.855,SHORT,0.6863980274551877,0.5,TAKE_PROFIT,616.6635685023728,85640.45939603918,True,,
ES,2026-01-01T14:00:00+00:00,2026-01-02T15:00:00+00:00,681.82,681.72,SHORT,0.6469033897919023,0.5,TAKE_PROFIT,12.121791846576576,85652.58118788575,True,,
NQ,2026-01-01T14:00:00+00:00,2026-01-02T14:00:00+00:00,613.79,622.7921699999999,SHORT,0.6640772154931349,0.5,STOP_LOSS,-954.0616672020996,84698.51952068365,False,,
SPY,2026-01-01T14:00:00+00:00,2026-01-02T15:00:00+00:00,681.82,681.72,SHORT,0.6469033897919023,0.5,TAKE_PROFIT,12.121791846576576,84710.64131253022,True,,
QQQ,2026-01-01T14:00:00+00:00,2026-01-02T14:00:00+00:00,613.79,622.7921699999999,SHORT,0.6640772154931349,0.5,STOP_LOSS,-954.0616672020996,83756.57964532812,False,,
