symbol,entry_date,exit_date,entry_price,exit_price,direction,confidence,game_score,reason,pnl,equity,win,mae,mfe
ES,2024-02-01T09:30:00+00:00,2024-02-02T15:00:00+00:00,482.955,492.0815899999999,SHORT,0.6996429238866887,0.5,STOP_LOSS,-2284.2734558122756,99779.4856045066,False,,
NQ,2024-02-01T09:30:00+00:00,2024-02-02T15:00:00+00:00,417.49,427.33691,SHORT,0.6864454681040579,0.5,STOP_LOSS,-1933.2477461117064,97846.23785839487,False,,
SPY,2024-02-01T09:30:00+00:00,2024-02-02T15:00:00+00:00,482.955,492.0815899999999,SHORT,0.6996429238866887,0.5,STOP_LOSS,-2284.2734558122756,95561.9644025826,False,,
