symbol,entry_date,exit_date,entry_price,exit_price,direction,confidence,game_score,reason,pnl,equity,win,mae,mfe
UNH,2026-04-08T00:00:00,2026-04-15T00:00:00,307.31,305.92,LONG,0.7010644665657717,0.5,TIME_EXIT,-110.08497393481368,99564.617980225,False,,
UNH,2026-04-08T00:00:00,2026-04-15T00:00:00,307.31,305.92,LONG,0.7010644665657717,0.5,TIME_EXIT,-110.08497393481368,99564.617980225,False,,
SPY,2026-04-01T09:30:00,2026-04-08T09:30:00,649.85,659.74,LONG,0.618989885606779,0.5,TIME_EXIT,940.3694648193514,100940.36946481936,True,,
QQQ,2026-04-01T09:30:00,2026-04-08T09:30:00,577.38,588.7,LONG,0.621476866213811,0.5,TIME_EXIT,1133.6194563662443,102073.9889211856,True,,
ES,2026-04-01T09:30:00+00:00,2026-04-08T09:30:00+00:00,649.85,659.74,LONG,0.618989885606779,0.5,TIME_EXIT,204.95978194437467,43796.29055399326,True,,
NQ,2026-04-01T09:30:00+00:00,2026-04-08T09:30:00+00:00,577.38,588.7,LONG,0.621476866213811,0.5,TIME_EXIT,247.07990346045608,44043.37045745372,True,,
SILVER,2026-04-01T09:30:00+00:00,2026-04-01T13:00:00+00:00,68.16,68.2,LONG,0.7145881588746097,0.5,TAKE_PROFIT,3.860995687204623,44047.23145314092,True,,
SPY,2026-04-01T09:30:00+00:00,2026-04-08T09:30:00+00:00,649.85,659.74,LONG,0.618989885606779,0.5,TIME_EXIT,204.95978194437467,44252.191235085294,True,,
QQQ,2026-04-01T09:30:00+00:00,2026-04-08T09:30:00+00:00,577.38,588.7,LONG,0.621476866213811,0.5,TIME_EXIT,247.07990346045608,44499.27113854575,True,,
SLV,2026-04-01T09:30:00+00:00,2026-04-01T13:00:00+00:00,68.16,68.2,LONG,0.7145881588746097,0.5,TAKE_PROFIT,3.860995687204623,44503.132134232954,True,,
SMCI,2026-04-01T09:30:00+00:00,2026-04-08T09:30:00+00:00,22.76,22.67,LONG,0.6191230685979177,0.5,TIME_EXIT,-19.857796600328808,44483.274337632625,False,,
SOUN,2026-04-01T09:30:00+00:00,2026-04-01T13:00:00+00:00,6.88,6.935,LONG,0.7589521437480552,0.5,TAKE_PROFIT,39.131370889849705,44522.40570852248,True,,
META,2026-04-01T09:30:00+00:00,2026-04-08T09:30:00+00:00,573.72,574.48,LONG,0.7248686795706764,0.5,TIME_EXIT,11.672625126830155,44534.07833364931,True,,
VTI,2026-04-01T14:00:00+00:00,2026-04-08T13:00:00+00:00,324.14,327.77,LONG,0.6590370818815653,0.5,TAKE_PROFIT,152.15959801775398,44686.23793166706,True,,
AMD,2026-04-01T14:00:00+00:00,2026-04-06T13:00:00+00:00,211.94,221.31,LONG,0.6748676408951821,0.5,TAKE_PROFIT,231.48767570885371,44917.72560737592,True,,
SMCI,2026-04-01T14:00:00+00:00,2026-04-08T14:00:00+00:00,23.06,22.94,LONG,0.6485831236701198,0.5,TIME_EXIT,-26.742222810191567,44890.98338456573,False,,
ARM,2026-04-01T14:00:00+00:00,2026-04-08T14:00:00+00:00,156.53,145.7,LONG,0.6859578617948525,0.5,TIME_EXIT,-356.5499276022015,44534.433456963525,False,,
GOOGL,2026-04-01T14:00:00+00:00,2026-04-07T13:00:00+00:00,296.4,303.32,LONG,0.7695180569640607,0.5,TAKE_PROFIT,225.31001665695024,44759.743473620474,True,,
UNH,2026-04-01T14:00:00+00:00,2026-04-02T14:00:00+00:00,272.75,277.75,LONG,0.799457795166175,0.5,TAKE_PROFIT,166.50031957247433,44926.243793192945,True,,
