window_start,window_end,n_trades,win_rate,mean_r,total_r,stop_rate,target_rate,pda_pct
2024-01-02,2024-02-01,27,0.25925925925925924,-0.24963444692935408,-6.74013006709256,0.7407407407407407,0.25925925925925924,1.0
2024-02-01,2024-03-02,25,0.48,0.3957785981154525,9.894464952886313,0.52,0.4,0.96
2024-03-02,2024-04-01,25,0.28,-0.15502276704783582,-3.8755691761958957,0.64,0.24,1.0
2024-04-01,2024-05-01,38,0.2631578947368421,-0.31686587405222183,-12.04090321398443,0.7368421052631579,0.21052631578947367,1.0
2024-05-01,2024-05-31,20,0.35,-0.0076280142306146435,-0.15256028461229287,0.6,0.3,1.0
2024-05-31,2024-06-30,22,0.22727272727272727,-0.29862053532591226,-6.56965177717007,0.7272727272727273,0.22727272727272727,1.0
2024-06-30,2024-07-30,20,0.35,0.03056173041098994,0.6112346082197988,0.65,0.35,1.0
2024-07-30,2024-08-29,31,0.4838709677419355,0.3157322206781737,9.787698841023385,0.5161290322580645,0.41935483870967744,1.0
2024-08-29,2024-09-28,33,0.21212121212121213,-0.43269822347826753,-14.279041374782828,0.7878787878787878,0.18181818181818182,1.0
2024-09-28,2024-10-28,21,0.19047619047619047,-0.40321246351824724,-8.467461733883193,0.7619047619047619,0.19047619047619047,1.0
2024-10-28,2024-11-27,25,0.28,-0.1855965617437367,-4.639914043593418,0.72,0.28,1.0
2024-11-27,2024-12-27,22,0.5454545454545454,0.5028130152541112,11.061886335590446,0.45454545454545453,0.45454545454545453,1.0
2024-12-27,2025-01-26,20,0.35,0.02973323431133649,0.5946646862267297,0.65,0.35,1.0
2025-01-26,2025-02-25,24,0.375,0.01657341058678875,0.39776185408292997,0.625,0.2916666666666667,1.0
2025-02-25,2025-03-27,37,0.3783783783783784,0.11981298730702597,4.433080530359961,0.6216216216216216,0.3783783783783784,1.0
2025-03-27,2025-04-26,38,0.21052631578947367,-0.3805606315589362,-14.461303999239576,0.7894736842105263,0.21052631578947367,1.0
2025-04-26,2025-05-26,24,0.375,0.02433267432630477,0.5839841838313145,0.625,0.2916666666666667,1.0
2025-05-26,2025-06-25,25,0.36,0.06389263753502496,1.597315938375624,0.64,0.36,1.0
2025-06-25,2025-07-25,17,0.23529411764705882,-0.385920886343426,-6.560655067838241,0.7058823529411765,0.11764705882352941,1.0
2025-07-25,2025-08-24,20,0.3,-0.15309699732145488,-3.0619399464290975,0.65,0.25,1.0
2025-08-24,2025-09-23,27,0.3333333333333333,-0.1305904953087978,-3.5259433733375403,0.6666666666666666,0.25925925925925924,1.0
2025-09-23,2025-10-23,18,0.6111111111111112,0.8191182030386375,14.744127654695475,0.3888888888888889,0.6111111111111112,1.0
2025-10-23,2025-11-22,35,0.3142857142857143,-0.07055971641284416,-2.4695900744495454,0.6857142857142857,0.3142857142857143,1.0
2025-11-22,2025-12-22,22,0.45454545454545453,0.20984175785793815,4.61651867287464,0.5454545454545454,0.36363636363636365,1.0
2025-12-22,2026-01-21,17,0.47058823529411764,0.4133633664183,7.0271772291111,0.47058823529411764,0.47058823529411764,1.0
2026-01-21,2026-02-20,27,0.3333333333333333,-0.05953735264308778,-1.60750852136337,0.6666666666666666,0.25925925925925924,1.0
2026-02-20,2026-03-22,25,0.4,0.13079829134900328,3.269957283725082,0.6,0.36,1.0
2026-03-22,2026-04-21,26,0.23076923076923078,-0.286497771741932,-7.448942065290232,0.7307692307692307,0.23076923076923078,0.9615384615384616
2026-04-21,2026-05-21,24,0.3333333333333333,-0.09586266217361201,-2.3007038921666885,0.625,0.25,1.0
