Date,ticker,close,era_slope,era_integrity,vol_zscore
2016-04-11,SPY,173.333251953125,,,
2016-04-12,SPY,174.94744873046875,,,
2016-04-13,SPY,176.7146453857422,,,
2016-04-14,SPY,176.72305297851562,,,
2016-04-15,SPY,176.52767944335938,,,
2016-04-18,SPY,177.76808166503906,,,
2016-04-19,SPY,178.32882690429688,,,
2016-04-20,SPY,178.498779296875,,,
2016-04-21,SPY,177.53872680664062,,,
2016-04-22,SPY,177.53872680664062,,,
2016-04-25,SPY,177.2328643798828,,,
2016-04-26,SPY,177.49624633789062,,,
2016-04-27,SPY,177.86155700683594,,,
2016-04-28,SPY,176.24732971191406,,,
2016-04-29,SPY,175.29583740234375,,,
2016-05-02,SPY,176.6891632080078,,,
2016-05-03,SPY,175.15135192871094,,,
2016-05-04,SPY,174.1743621826172,,,
2016-05-05,SPY,174.14035034179688,,,
2016-05-06,SPY,174.77752685546875,,,
2016-05-09,SPY,174.9219970703125,,,
2016-05-10,SPY,177.09686279296875,,,
2016-05-11,SPY,175.44020080566406,,,
2016-05-12,SPY,175.49118041992188,,,
2016-05-13,SPY,173.96194458007812,,,
2016-05-16,SPY,175.6781005859375,,,
2016-05-17,SPY,174.0383758544922,,,
2016-05-18,SPY,174.08938598632812,,,
2016-05-19,SPY,173.48614501953125,,,
2016-05-20,SPY,174.5821075439453,,,
2016-05-23,SPY,174.34426879882812,,,
2016-05-24,SPY,176.60414123535156,,,
2016-05-25,SPY,177.80206298828125,,,
2016-05-26,SPY,177.8530731201172,,,
2016-05-27,SPY,178.61767578125,,,
2016-05-31,SPY,178.27786254882812,,,
2016-06-01,SPY,178.64315795898438,,,
2016-06-02,SPY,179.1869659423828,,,
2016-06-03,SPY,178.6516571044922,,,
2016-06-06,SPY,179.56076049804688,,,
2016-06-07,SPY,179.84109497070312,,,
2016-06-08,SPY,180.42735290527344,,,
2016-06-09,SPY,180.18092346191406,,,
2016-06-10,SPY,178.4733123779297,,,
2016-06-13,SPY,177.09686279296875,,,
2016-06-14,SPY,176.74859619140625,,,
2016-06-15,SPY,176.502197265625,,,
2016-06-16,SPY,177.02894592285156,,,
2016-06-17,SPY,176.3696746826172,,,
2016-06-20,SPY,177.50552368164062,,,
2016-06-21,SPY,178.0093536376953,,,
2016-06-22,SPY,177.71900939941406,,,
2016-06-23,SPY,180.0333709716797,,,
2016-06-24,SPY,173.56849670410156,,,
2016-06-27,SPY,170.45994567871094,,,
2016-06-28,SPY,173.53436279296875,,,
2016-06-29,SPY,176.48919677734375,,,
2016-06-30,SPY,178.89752197265625,,,
2016-07-01,SPY,179.27330017089844,,,
2016-07-05,SPY,177.98374938964844,,,
2016-07-06,SPY,179.05128479003906,,,
2016-07-07,SPY,178.9402618408203,,,
2016-07-08,SPY,181.60472106933594,,,
2016-07-11,SPY,182.2452392578125,,,
2016-07-12,SPY,183.56895446777344,,,
2016-07-13,SPY,183.54331970214844,,,
2016-07-14,SPY,184.56814575195312,,,
2016-07-15,SPY,184.32046508789062,,,
2016-07-18,SPY,184.8158416748047,,,
2016-07-19,SPY,184.6278839111328,,,
2016-07-20,SPY,185.39657592773438,,,
2016-07-21,SPY,184.69627380371094,,,
2016-07-22,SPY,185.524658203125,,,
2016-07-25,SPY,185.020751953125,,,
2016-07-26,SPY,185.10618591308594,,,
2016-07-27,SPY,184.9097442626953,,,
2016-07-28,SPY,185.1232452392578,,,
2016-07-29,SPY,185.42210388183594,,,
2016-08-01,SPY,185.2684326171875,,,
2016-08-02,SPY,184.0813751220703,,,
2016-08-03,SPY,184.619384765625,,,
2016-08-04,SPY,184.8158416748047,,,
2016-08-05,SPY,186.32737731933594,,,
2016-08-08,SPY,186.21636962890625,,,
2016-08-09,SPY,186.32737731933594,,,
2016-08-10,SPY,185.8661651611328,,,
2016-08-11,SPY,186.7288055419922,,,
2016-08-12,SPY,186.5665283203125,,,
2016-08-15,SPY,187.1044921875,,,
2016-08-16,SPY,186.13954162597656,,,
2016-08-17,SPY,186.48960876464844,,,
2016-08-18,SPY,186.9081268310547,,,
2016-08-19,SPY,186.63487243652344,,,
2016-08-22,SPY,186.62632751464844,,,
2016-08-23,SPY,187.0020751953125,,,
2016-08-24,SPY,186.04559326171875,,,
2016-08-25,SPY,185.9174346923828,,,
2016-08-26,SPY,185.56732177734375,,,
2016-08-29,SPY,186.48110961914062,,,
2016-08-30,SPY,186.17364501953125,,,
2016-08-31,SPY,185.64414978027344,,,
2016-09-01,SPY,185.6527099609375,,,
2016-09-02,SPY,186.48960876464844,,,
2016-09-06,SPY,187.05332946777344,,,
2016-09-07,SPY,187.0362548828125,,,
2016-09-08,SPY,186.60919189453125,,,
2016-09-09,SPY,182.14276123046875,,,
2016-09-12,SPY,184.75604248046875,,,
2016-09-13,SPY,182.1000518798828,,,
2016-09-14,SPY,182.03176879882812,,,
2016-09-15,SPY,183.8507843017578,,,
2016-09-16,SPY,183.14007568359375,,,
2016-09-19,SPY,183.17440795898438,,,
2016-09-20,SPY,183.1829833984375,,,
2016-09-21,SPY,185.24295043945312,,,
2016-09-22,SPY,186.4102783203125,,,
2016-09-23,SPY,185.3888702392578,,,
2016-09-26,SPY,183.88687133789062,,,
2016-09-27,SPY,185.02841186523438,,,
2016-09-28,SPY,185.94677734375,,,
2016-09-29,SPY,184.26451110839844,,,
2016-09-30,SPY,185.6549835205078,,,
2016-10-03,SPY,185.20864868164062,,,
2016-10-04,SPY,184.26451110839844,,,
2016-10-05,SPY,185.0799102783203,,,
2016-10-06,SPY,185.20864868164062,,,
