Date,Close,High,Low,Open,Volume
2015-01-02,169.68780517578125,170.88553383109766,168.6552891653052,170.47252742690722,121465900
2015-01-05,166.6233673095703,168.8122970325031,166.31774648892383,168.647096929558,169632600
2015-01-06,165.05389404296875,167.4493262708284,164.2609161597577,166.92893414109756,209151400
2015-01-07,167.11070251464844,167.44937089898684,165.92950987204858,166.37555138501293,125346700
2015-01-08,170.0761260986328,170.2908976139129,168.49845034263765,168.51496153307292,147217800
2015-01-09,168.71315002441406,170.5055966664213,168.10189588592164,170.4890728778248,158567300
2015-01-12,167.39151000976562,169.0022452562674,166.78852411875266,168.84530078782205,144396100
2015-01-13,166.9207000732422,169.72913908899594,165.62385367921945,168.60576096190292,214553300
2015-01-14,165.91299438476562,166.11124206931527,164.0214299016989,164.91351297227266,192991100
2015-01-15,164.39312744140625,166.86289849504993,164.2774861138506,166.54902209394717,176613900
2015-01-16,166.54893493652344,166.70587935692328,164.00481445771456,164.1865382493404,211879600
2015-01-20,166.90415954589844,167.4493310684787,165.34299571593226,167.1850008985163,130991100
2015-01-21,167.7467498779297,168.22583901130292,165.9790822636024,166.44164760507718,122942700
2015-01-22,170.24122619628906,170.37337865214468,167.127154720781,168.49833885740782,174356000
2015-01-23,169.30787658691406,170.24127526039032,169.17571148901422,169.98520065672528,117516800
2015-01-26,169.7043914794922,169.7952534260455,168.3827780615787,169.09314984264265,92009700
2015-01-27,167.4658660888672,168.60575536241527,166.63985315825929,167.655845533799,134044600
2015-01-28,165.31825256347656,168.74620170511815,165.12827308965936,168.64708417164115,168514300
2015-01-29,166.8463897705078,167.1024518135914,164.1122758358799,165.51650818201227,173585400
2015-01-30,164.748291015625,166.99504739330268,164.48397340858196,165.67343415017112,197729700
2015-02-02,166.78851318359375,166.8793751012651,163.43490302874275,165.24387318713673,163107000
2015-02-03,169.20050048828125,169.20876868484345,167.30893625739085,167.68063958790245,124212900
2015-02-04,168.55616760253906,169.6465105332436,168.10185804807884,168.44052631630873,134306700
2015-02-05,170.25778198242188,170.40647086465165,169.14267208350574,169.21701022264207,97953200
2015-02-06,169.78695678710938,171.18292062670562,169.26656461865574,170.62122529181084,125672000
2015-02-09,169.0270538330078,169.8613224730138,168.62230290257145,169.14269515542406,87219000
2015-02-10,170.8277130126953,171.0837749758462,169.06830163446324,170.05952712324256,96164200
2015-02-11,170.92684936523438,171.35637961746548,170.01824270561735,170.6625317819855,91087800
2015-02-12,172.5706024169922,172.62842936615894,170.95987988674725,171.7198101932229,97545900
2015-02-13,173.28102111816406,173.33057988581692,172.43848425618765,172.6945588956595,93670400
2015-02-17,173.55357360839844,173.72704186582325,172.7193051039149,172.96709889458353,76968200
2015-02-18,173.57012939453125,173.64446754543653,172.91757201491595,173.18190224563585,80652900
2015-02-19,173.44618225097656,173.80962993740306,172.83494078194687,172.97536146007414,91462500
2015-02-20,174.48696899414062,174.56130712996128,172.41366855501633,173.0331782281016,140896400
2015-02-23,174.4622039794922,174.4622039794922,173.85920543986055,174.2391769497112,74411100
