Date,Close,High,Low,Open,Volume
2015-01-02,94.56114196777344,95.71857849986742,94.10183975422629,95.31439731765494,31314600
2015-01-05,93.17407989501953,94.2580337782868,92.90768367702016,94.14779868547387,36521300
2015-01-06,91.92473602294922,93.46799159447637,91.51136687330951,93.31183053869204,66205500
2015-01-07,93.10975646972656,93.33021959634728,92.31056799918137,92.53103813419852,37577400
2015-01-08,94.89185333251953,95.07557144015638,93.79871166940957,93.89975873112881,40212600
2015-01-09,94.2672119140625,95.21337358430702,93.71604351612828,95.18581656608977,41410100
2015-01-12,93.2842788696289,94.5519504083639,93.045439765208,94.4509033645087,34129800
2015-01-13,93.25672912597656,95.18580425239728,92.50347368909482,94.19370967453457,56162300
2015-01-14,92.7423095703125,93.2199878354847,91.92475212517918,92.31975234090396,51354200
2015-01-15,91.5389404296875,93.32102840571753,91.42870536593871,93.17405532911535,51005400
2015-01-16,92.61370086669922,92.73311692281891,91.27253920349455,91.4195122719191,35362200
2015-01-20,93.34857940673828,93.58741149895161,92.12683390209655,93.17404233224796,30964100
2015-01-21,93.82625579833984,94.26718900786439,92.74230229200408,93.0730004470486,40128800
2015-01-22,95.56241607666016,95.66346312288192,93.36695208765163,94.19369746201363,40887200
2015-01-23,95.77372741699219,96.06768063891492,95.27768004092303,95.55325724425192,34783000
2015-01-26,95.6634750366211,95.83801213972166,95.17661575786306,95.6634750366211,19960900
2015-01-27,93.18321990966797,94.21205221241678,92.87089081176606,94.1569381985965,45253200
2015-01-28,92.70555877685547,94.7816067819832,92.68718977167545,94.68055973250381,43591700
2015-01-29,93.59661865234375,93.7711557625395,91.82371155994468,92.63208105485744,46539700
2015-01-30,92.87091064453125,94.23044834571697,92.742306579224,93.51393797946345,42927600
2015-02-02,93.6792984008789,93.76196944926801,91.63080709834415,93.08220402061384,43624700
2015-02-03,94.57950592041016,94.64380794653607,93.40369343788184,94.01915668914351,30750400
2015-02-04,94.49684143066406,95.12149273128955,93.98241817765764,94.1937002829203,34073200
2015-02-05,95.31439971923828,95.37870175041924,94.49684231919647,94.73567443021388,23605500
2015-02-06,94.73567962646484,95.6910291481227,94.39580044660703,95.46137802296637,34169300
2015-02-09,94.43256378173828,94.8826781119882,94.20291261204378,94.36826173455972,22604700
2015-02-10,95.9023208618164,96.03092494409887,94.80917915401865,94.95615925285395,23686500
2015-02-11,96.25141143798828,96.47187463133662,95.82885406390456,96.01257222362841,20303600
2015-02-12,97.37210083007812,97.40884586007836,96.72908032606883,96.87605343767187,22520300
2015-02-13,98.2080307006836,98.22639971077533,97.46395613661304,97.64768127951831,29030200
2015-02-17,98.29985046386719,98.3641524860742,97.95996434169021,98.20799143334213,17675300
2015-02-18,98.4376449584961,98.4927589765009,98.05182580727758,98.18042985488543,15149600
2015-02-19,98.92454528808594,98.98884733863662,98.3458198247319,98.37337684519677,19828100
2015-02-20,99.5859146118164,99.64102863769226,98.54788706851477,98.86021623473518,28336700
2015-02-23,99.68696594238281,99.71452996683733,99.31034170893221,99.53080484579102,17868000
2015-02-24,99.76045227050781,99.87987534683354,99.25522397536429,99.5583581490918,19745000
2015-02-25,99.51242065429688,99.99927988609036,99.29195054268061,99.61346770335541,19472300
2015-02-26,100.01766204833984,100.07278308769283,99.33789663575695,99.61348080733205,22255500
2015-02-27,99.57671356201172,100.04520374578087,99.42055250355368,99.98089471282104,27757600
