Date,Close,High,Low,Open,Volume
2015-01-01,186.42999267578125,186.42999267578125,186.42999267578125,186.42999267578125,0
2015-01-02,186.76499938964844,187.2949981689453,184.82200622558594,186.74000549316406,0
2015-01-05,184.0780029296875,184.3769989013672,181.72900390625,184.0800018310547,0
2015-01-06,182.2050018310547,182.33099365234375,180.10000610351562,182.16099548339844,0
2015-01-07,179.625,180.58900451660156,179.60000610351562,179.61599731445312,0
2015-01-08,180.16299438476562,180.91000366210938,179.97999572753906,180.20199584960938,0
2015-01-09,180.67999267578125,180.86500549316406,179.9149932861328,180.66200256347656,0
2015-01-12,179.54299926757812,180.52099609375,179.0399932861328,179.57200622558594,0
2015-01-13,179.47000122070312,180.07400512695312,178.4669952392578,179.42999267578125,0
2015-01-14,178.6840057373047,178.8560028076172,176.90499877929688,178.6300048828125,0
2015-01-15,178.8000030517578,179.55099487304688,177.09500122070312,178.8800048828125,0
2015-01-16,176.25999450683594,178.031005859375,175.89199829101562,176.25599670410156,0
2015-01-19,177.97999572753906,178.33599853515625,177.00999450683594,177.9499969482422,0
2015-01-20,177.58200073242188,180.25999450683594,177.6060028076172,177.63999938964844,0
2015-01-21,179.69400024414062,179.7899932861328,177.07000732421875,179.65499877929688,0
2015-01-22,178.47000122070312,179.2239990234375,177.4600067138672,178.4530029296875,0
2015-01-23,178.21299743652344,178.14999389648438,176.20799255371094,178.14999389648438,0
2015-01-26,175.94000244140625,178.25999450683594,175.9759979248047,175.9759979248047,0
2015-01-27,178.78599548339844,179.00999450683594,177.85899353027344,178.75,0
2015-01-28,178.8300018310547,179.343994140625,178.5919952392578,178.92100524902344,0
2015-01-29,178.05999755859375,178.89700317382812,177.91400146484375,178.0500030517578,0
2015-01-30,178.2830047607422,178.3249969482422,176.1699981689453,178.2949981689453,0
2015-02-02,176.7779998779297,177.7010040283203,176.25599670410156,176.7100067138672,0
2015-02-03,176.6750030517578,177.7689971923828,175.49000549316406,176.67999267578125,0
2015-02-04,178.12899780273438,179.2689971923828,177.74000549316406,178.19000244140625,0
2015-02-05,177.97999572753906,179.8000030517578,177.72900390625,178.02000427246094,0
2015-02-06,180.08799743652344,181.71499633789062,179.57000732421875,180.0540008544922,0
2015-02-09,181.24000549316406,181.5850067138672,180.15499877929688,181.21800231933594,0
2015-02-10,180.41000366210938,182.1269989013672,180.24000549316406,180.44000244140625,0
2015-02-11,182.13499450683594,183.8040008544922,181.9949951171875,182.11500549316406,0
2015-02-12,183.13600158691406,184.1479949951172,181.28599548339844,183.16000366210938,0
2015-02-13,183.01600646972656,183.32000732421875,182.53799438476562,182.9199981689453,0
2015-02-16,182.67300415039062,183.16700744628906,182.00999450683594,182.66700744628906,0
2015-02-17,181.88999938964844,183.05999755859375,181.5800018310547,181.96499633789062,0
2015-02-18,183.0,184.18099975585938,182.60400390625,182.96499633789062,0
2015-02-19,183.1699981689453,183.99200439453125,183.052001953125,183.2169952392578,0
2015-02-20,183.47500610351562,183.63999938964844,181.64999389648438,183.4949951171875,0
2015-02-23,183.22000122070312,183.697998046875,182.60299682617188,183.21400451660156,0
2015-02-24,183.6999969482422,184.67599487304688,183.6219940185547,183.71099853515625,0
2015-02-25,183.72999572753906,184.5260009765625,183.50999450683594,183.63999938964844,0
2015-02-26,184.50100708007812,185.01800537109375,183.57400512695312,184.49000549316406,0
2015-02-27,184.0260009765625,184.74899291992188,183.55999755859375,184.03799438476562,0
2015-03-02,184.59300231933594,184.88999938964844,184.13999938964844,184.64500427246094,0
2015-03-03,184.61900329589844,184.58999633789062,183.70700073242188,184.58999633789062,0
2015-03-04,183.8179931640625,183.96499633789062,182.66799926757812,183.781005859375,0
2015-03-05,182.61000061035156,183.61900329589844,182.38999938964844,182.58299255371094,0
2015-03-06,183.03500366210938,183.1060028076172,182.02999877929688,183.0399932861328,0
2015-03-09,181.79200744628906,183.01300048828125,181.63600158691406,181.71600341796875,0
2015-03-10,183.3719940185547,183.86000061035156,182.44000244140625,183.4340057373047,0
2015-03-11,182.47999572753906,183.1199951171875,181.3000030517578,182.5,0
2015-03-12,181.33900451660156,181.7429962158203,180.59800720214844,181.36500549316406,0
2015-03-13,180.6300048828125,180.74000549316406,178.5,180.63499450683594,0
2015-03-16,179.01800537109375,179.59800720214844,178.88999938964844,179.0,0
2015-03-17,179.91600036621094,180.09500122070312,178.5679931640625,179.92799377441406,0
2015-03-18,178.9340057373047,179.1540069580078,177.156005859375,178.90199279785156,0
2015-03-19,179.59100341796875,179.88299560546875,178.0,179.57400512695312,0
2015-03-20,178.22500610351562,179.78799438476562,177.93699645996094,178.19000244140625,0
2015-03-23,179.32899475097656,179.3249969482422,178.13999938964844,179.26199340820312,0
2015-03-24,179.031005859375,179.19400024414062,177.74200439453125,179.03799438476562,0
2015-03-25,177.697998046875,178.35400390625,177.64999389648438,177.65199279785156,0
2015-03-26,177.79400634765625,177.83999633789062,176.46800231933594,177.81100463867188,0
2015-03-27,177.02999877929688,177.8800048828125,176.70199584960938,177.04100036621094,0
2015-03-30,177.48199462890625,177.9290008544922,176.6790008544922,177.44000244140625,0
2015-03-31,177.6999969482422,178.30799865722656,177.1009979248047,177.6820068359375,0
2015-04-01,177.9720001220703,178.3730010986328,176.77999877929688,177.8699951171875,0
2015-04-02,177.38699340820312,177.72900390625,176.7530059814453,177.3350067138672,0
2015-04-03,177.5,177.69700622558594,177.09800720214844,177.48300170898438,0
2015-04-06,177.3800048828125,178.27200317382812,177.2449951171875,177.36300659179688,0
2015-04-07,177.88499450683594,179.1580047607422,177.80499267578125,177.88900756835938,0
2015-04-08,178.28700256347656,179.26300048828125,177.63400268554688,178.2729949951172,0
2015-04-09,178.63999938964844,179.072998046875,177.23699951171875,178.6199951171875,0
2015-04-10,177.3699951171875,177.5,175.68499755859375,177.39999389648438,0
2015-04-13,175.97000122070312,176.51400756835938,175.3800048828125,175.9219970703125,0
2015-04-14,176.09500122070312,176.56300354003906,174.8679962158203,176.09100341796875,0
2015-04-15,176.44700622558594,176.64300537109375,175.6750030517578,176.46499633789062,0
2015-04-16,176.66400146484375,177.9199981689453,176.59300231933594,176.61700439453125,0
2015-04-17,177.65199279785156,178.71099853515625,177.43499755859375,177.67999267578125,0
2015-04-20,177.7969970703125,178.1790008544922,177.1959991455078,177.7779998779297,0
2015-04-21,177.69500732421875,178.68699645996094,177.48899841308594,177.74600219726562,0
2015-04-22,178.61900329589844,180.33799743652344,178.46800231933594,178.61599731445312,0
2015-04-23,180.35000610351562,180.4149932861328,179.3459930419922,180.33999633789062,0
2015-04-24,179.92999267578125,180.97999572753906,179.65699768066406,179.9340057373047,0
2015-04-27,180.43499755859375,181.4969940185547,180.30999755859375,180.4499969482422,0
2015-04-28,181.33999633789062,182.19500732421875,180.69500732421875,181.31900024414062,0
2015-04-29,182.1999969482422,184.0279998779297,182.09800720214844,182.19200134277344,0
