date,ticker,prev_close,price_1030,gain_1030,cum_vol_1030,vwap_1030,read,C1,C2,C3,C4,E1,E2,E3,E4,entry_open_1030,close_eod,outcome_pct,n_slice_bars,active_proxy,boundary_leak_zone,catalyst,overnight_gap,intraday_push,rvol_1030,dollar_vol_m,mins_to_high,vwap_dist,dow,spy_am
2025-07-08,RLYB,2.723,3.71,0.3625,9119760,4.2025,UNC,0,1,1,0,1,1,1,0,3.714,4.112,0.1072,12,1,0,FDA_CLINICAL,0.2101,0.1259,512.2,33.8,20,-0.1172,1,-0.00216
2025-07-08,SRFM,4.55,5.925,0.3022,10135284,5.6693,CONT,1,1,1,1,0,0,0,0,5.93,6.09,0.027,12,1,0,NO_NEWS_PRE1030,0.0989,0.185,0.3,60.1,45,0.0451,1,-0.00216
2025-07-08,WKHS,21.0,32.64,0.5543,1146094,30.6304,CONT,1,1,0,1,0,0,0,0,32.53,32.16,-0.0114,12,1,0,NO_NEWS_PRE1030,0.0343,0.5028,11.5,37.4,55,0.0656,1,-0.00216
2025-07-08,ZEPP,3.48,5.3152,0.5274,1328156,4.9211,CONT,1,1,1,1,0,0,0,0,5.32,5.18,-0.0263,12,1,0,OTHER_NEWS,0.2356,0.2361,23.5,7.1,55,0.0801,1,-0.00216
2025-07-09,AQMS,4.8,6.635,0.3823,1294225,6.3712,CONT,1,1,0,1,0,0,0,1,6.656,5.824,-0.125,12,1,0,FDA_CLINICAL,0.1381,0.2145,38.2,8.6,55,0.0414,2,0.00096
2025-07-09,BMGL,21.84,38.22,0.75,707160,34.9789,UNC,1,1,1,1,0,1,1,0,38.28,43.32,0.1317,12,1,0,OTHER_NEWS,0.7088,0.0241,10.5,27.0,0,0.0927,2,0.00096
2025-07-09,CLDI,4.02,15.54,2.8657,11329166,11.9249,CONT,1,1,1,1,0,0,0,0,15.48,7.92,-0.4884,12,1,0,OTHER_NEWS,1.6692,0.4483,23.1,176.1,55,0.3032,2,0.00096
2025-07-09,EVOK,2.66,6.2098,1.3345,33899827,8.0509,EX,0,0,0,0,1,1,1,0,6.2099,6.96,0.1208,12,0,0,OTHER_NEWS,2.1955,-0.2694,2767.2,210.5,5,-0.2287,2,0.00096
2025-07-09,GAME,1.54,2.1793,0.4151,40529926,2.3737,UNC,0,1,1,0,1,1,1,0,2.1701,2.16,-0.0047,12,1,0,CRYPTO,0.2143,0.1654,10.1,88.3,20,-0.0819,2,0.00096
2025-07-09,KZIA,6.825,9.385,0.3751,2412022,9.83,UNC,0,1,1,0,1,0,1,0,9.546,9.59,0.0046,12,1,0,FDA_CLINICAL,0.4359,-0.0423,20.1,22.6,25,-0.0453,2,0.00096
2025-07-09,PROK,3.73,5.635,0.5107,70112978,6.2312,EX,0,1,0,0,1,1,1,0,5.64,4.35,-0.2287,12,1,0,OTHER_NEWS,0.5576,-0.0301,1.7,395.1,25,-0.0957,2,0.00096
2025-07-09,SCAG,4.2,6.4,0.5238,963204,6.9609,EX,0,0,0,0,1,1,1,0,6.4,6.75,0.0547,12,1,0,OTHER_NEWS,0.869,-0.1847,1.7,6.2,0,-0.0806,2,0.00096
2025-07-09,SUGP,4.495,12.4,1.7586,7231065,14.7471,UNC,0,1,1,0,1,1,1,1,12.3,12.16,-0.0114,12,1,0,CONTRACT_PARTNER,1.0572,0.341,1763.3,89.7,20,-0.1592,2,0.00096
