symbol,entry_date,exit_date,entry_price,exit_price,direction,pnl,reason,equity,win
ES,2026-01-01T09:30:00+00:00,2026-01-05T16:00:00+00:00,681.82,689.2385499999999,SHORT,-27.20127746325961,HARD_STOP,99972.79872253674,False
NQ,2026-01-01T09:30:00+00:00,2026-01-02T14:00:00+00:00,613.79,622.7921699999999,SHORT,-36.66632724547473,HARD_STOP,99936.13239529126,False
SPY,2026-01-01T09:30:00+00:00,2026-01-05T16:00:00+00:00,681.82,689.2385499999999,SHORT,-27.20127746325961,HARD_STOP,99908.931117828,False
QQQ,2026-01-01T09:30:00+00:00,2026-01-02T14:00:00+00:00,613.79,622.7921699999999,SHORT,-36.66632724547473,HARD_STOP,99872.26479058253,False
IWM,2026-01-01T09:30:00+00:00,2026-01-05T14:00:00+00:00,246.33,249.89964999999998,SHORT,-36.228331912474786,HARD_STOP,99836.03645867006,False
DIA,2026-01-01T09:30:00+00:00,2026-01-05T14:00:00+00:00,480.61,485.95547,SHORT,-27.805653232350416,HARD_STOP,99808.2308054377,False
VTI,2026-01-01T09:30:00+00:00,2026-01-05T15:00:00+00:00,335.26,339.10876999999994,SHORT,-28.69988963789256,HARD_STOP,99779.53091579981,False
TLT,2026-01-01T09:30:00+00:00,2026-01-08T09:30:00+00:00,87.19,87.7,SHORT,-14.623236609703104,TIME_EXIT,99764.9076791901,False
LQD,2026-01-01T09:30:00+00:00,2026-01-08T09:30:00+00:00,110.2,110.565,SHORT,-8.280399274047074,TIME_EXIT,99756.62727991605,False
PLTR,2026-01-01T09:30:00+00:00,2026-01-05T13:00:00+00:00,177.84,172.96249999999998,SHORT,68.56584570400399,HARD_STOP,99825.19312562005,True
META,2026-01-01T09:30:00+00:00,2026-01-05T14:00:00+00:00,660.11,650.9650000000001,SHORT,34.63437911863126,HARD_STOP,99859.82750473869,True
TSLA,2026-01-01T09:30:00+00:00,2026-01-05T14:00:00+00:00,449.81,441.3100000000001,SHORT,47.242168915763806,HARD_STOP,99907.06967365445,True
XLF,2026-01-01T09:30:00+00:00,2026-01-05T14:00:00+00:00,54.77,55.48042499999999,SHORT,-32.42765199926908,HARD_STOP,99874.64202165518,False
SPG,2026-01-01T09:30:00+00:00,2026-01-08T09:30:00+00:00,185.165,184.15,SHORT,13.70399373531696,TIME_EXIT,99888.34601539049,True
ES,2026-01-01T14:00:00+00:00,2026-01-05T16:00:00+00:00,681.82,689.2385499999999,SHORT,-27.170906153107193,HARD_STOP,99861.17510923739,False
NQ,2026-01-01T14:00:00+00:00,2026-01-02T14:00:00+00:00,613.79,622.7921699999999,SHORT,-36.62538783009521,HARD_STOP,99824.5497214073,False
SPY,2026-01-01T14:00:00+00:00,2026-01-05T16:00:00+00:00,681.82,689.2385499999999,SHORT,-27.170906153107193,HARD_STOP,99797.3788152542,False
QQQ,2026-01-01T14:00:00+00:00,2026-01-02T14:00:00+00:00,613.79,622.7921699999999,SHORT,-36.62538783009521,HARD_STOP,99760.7534274241,False
IWM,2026-01-01T14:00:00+00:00,2026-01-05T14:00:00+00:00,246.33,249.89964999999998,SHORT,-36.18788153633695,HARD_STOP,99724.56554588777,False
DIA,2026-01-01T14:00:00+00:00,2026-01-05T14:00:00+00:00,480.61,485.95547,SHORT,-27.774607112569797,HARD_STOP,99696.7909387752,False
VTI,2026-01-01T14:00:00+00:00,2026-01-05T15:00:00+00:00,335.26,339.10876999999994,SHORT,-28.66784506753332,HARD_STOP,99668.12309370766,False
TLT,2026-01-01T14:00:00+00:00,2026-01-08T14:00:00+00:00,87.19,87.365,SHORT,-5.012174719776655,TIME_EXIT,99663.11091898789,False
LQD,2026-01-01T14:00:00+00:00,2026-01-08T14:00:00+00:00,110.2,110.33,SHORT,-2.9458904224138642,TIME_EXIT,99660.16502856548,False
PLTR,2026-01-01T14:00:00+00:00,2026-01-05T13:00:00+00:00,177.84,172.96249999999998,SHORT,68.48928920519427,HARD_STOP,99728.65431777068,True
META,2026-01-01T14:00:00+00:00,2026-01-05T14:00:00+00:00,660.11,650.9650000000001,SHORT,34.59570845430054,HARD_STOP,99763.25002622498,True
TSLA,2026-01-01T14:00:00+00:00,2026-01-05T14:00:00+00:00,449.81,441.3100000000001,SHORT,47.1894211517534,HARD_STOP,99810.43944737673,True
XLF,2026-01-01T14:00:00+00:00,2026-01-05T14:00:00+00:00,54.77,55.48042499999999,SHORT,-32.391445233696594,HARD_STOP,99778.04800214304,False
SPG,2026-01-01T14:00:00+00:00,2026-01-08T14:00:00+00:00,185.165,184.73,SHORT,5.866582577254755,TIME_EXIT,99783.91458472029,True
