symbol,entry_date,exit_date,entry_price,exit_price,direction,confidence,game_score,reason,pnl,equity,win
LQD,2025-12-03T14:00:00+00:00,2025-12-08T14:00:00+00:00,111.12,110.604285,LONG,0.6206227096865653,0.5,STOP_LOSS,-2056.9829059829453,97943.01709401705,False
MSFT,2025-12-03T14:00:00+00:00,2025-12-10T14:00:00+00:00,477.005,480.49,SHORT,0.6609662253894295,0.5,TIME_EXIT,-260.7139040290697,97682.30318998799,False
IWM,2025-12-04T09:30:00+00:00,2025-12-04T15:00:00+00:00,249.72,249.81,LONG,0.6252173210828816,0.5,TAKE_PROFIT,16.476533068191358,97698.77972305618,True
DIA,2025-12-04T09:30:00+00:00,2025-12-05T14:00:00+00:00,480.33,480.33,LONG,0.6703026469071987,0.5,TAKE_PROFIT,0.0,97698.77972305618,False
ARM,2025-12-04T09:30:00+00:00,2025-12-04T15:00:00+00:00,139.21,139.56,LONG,0.6245235935297436,0.5,TAKE_PROFIT,45.00642083976762,97743.78614389595,True
PLTR,2025-12-04T09:30:00+00:00,2025-12-04T16:00:00+00:00,176.33,177.91,LONG,0.680484571499824,0.5,TAKE_PROFIT,153.08059132571736,97896.86673522167,True
META,2025-12-04T14:00:00+00:00,2025-12-11T14:00:00+00:00,664.71,648.44,LONG,0.6601761824368559,0.5,TIME_EXIT,-599.5307927340135,97297.33594248765,False
XLF,2025-12-04T14:00:00+00:00,2025-12-05T15:00:00+00:00,53.72,53.9,LONG,0.6823883812257938,0.5,TAKE_PROFIT,151.1642795176231,97448.50022200528,True
JPM,2025-12-04T14:00:00+00:00,2025-12-04T15:00:00+00:00,315.28,315.94,LONG,0.637543621496941,0.5,TAKE_PROFIT,81.82424682347283,97530.32446882875,True
BAC,2025-12-04T14:00:00+00:00,2025-12-05T15:00:00+00:00,54.57,54.68,LONG,0.6664380348984509,0.5,TAKE_PROFIT,60.913605968582196,97591.23807479734,True
VTI,2025-12-05T14:00:00+00:00,2025-12-05T15:00:00+00:00,338.07,338.195,LONG,0.6581515535335629,0.5,TAKE_PROFIT,24.101702883276804,97615.33977768061,True
UNG,2025-12-05T14:00:00+00:00,2025-12-05T15:00:00+00:00,16.57,16.59,LONG,0.7126765077114005,0.5,TAKE_PROFIT,16.674628015830695,97632.01440569643,True
XLE,2025-12-05T14:00:00+00:00,2025-12-05T20:00:00+00:00,46.295,46.04,SHORT,0.95,0.5,TAKE_PROFIT,75.82995318903681,97707.84435888547,True
CVX,2025-12-08T09:30:00+00:00,2025-12-08T17:00:00+00:00,150.14,148.215,SHORT,0.6057799740479051,0.5,TAKE_PROFIT,398.0689955361946,98105.91335442166,True
SMCI,2025-12-08T14:00:00+00:00,2025-12-08T15:00:00+00:00,35.23,35.365,LONG,0.6751957820646093,0.5,TAKE_PROFIT,54.55139047951295,98160.46474490117,True
MSFT,2025-12-08T14:00:00+00:00,2025-12-10T19:00:00+00:00,489.09,476.23328999999995,LONG,0.6938619318905621,0.5,STOP_LOSS,-1213.6405417155365,96946.82420318564,False
UNH,2025-12-08T14:00:00+00:00,2025-12-09T15:00:00+00:00,325.06,322.875,SHORT,0.6595214960855297,0.5,TAKE_PROFIT,140.1055037120341,97086.92970689767,True
XBI,2025-12-08T14:00:00+00:00,2025-12-15T14:00:00+00:00,124.245,123.78,LONG,0.7081483025587112,0.5,TIME_EXIT,-102.44938978782386,96984.48031710985,False
XLE,2025-12-08T14:00:00+00:00,2025-12-08T18:00:00+00:00,45.775,45.33,SHORT,0.95,0.5,TAKE_PROFIT,147.6328116420405,97132.11312875188,True
GS,2025-12-08T14:00:00+00:00,2025-12-09T14:00:00+00:00,867.64,869.67,LONG,0.7486339791673389,0.5,TAKE_PROFIT,69.81071277529809,97201.92384152718,True
VNQ,2025-12-08T14:00:00+00:00,2025-12-08T18:00:00+00:00,89.385,89.27,SHORT,0.6554423482850487,0.5,TAKE_PROFIT,65.00021419779142,97266.92405572497,True
UNG,2025-12-09T09:30:00+00:00,2025-12-09T14:00:00+00:00,15.04,14.81,SHORT,0.727596194346504,0.5,TAKE_PROFIT,174.90534068590216,97441.82939641087,True
UNG,2025-12-09T14:00:00+00:00,2025-12-09T18:00:00+00:00,14.58,14.52,SHORT,0.7663503240520836,0.5,TAKE_PROFIT,47.478559069227686,97489.30795548011,True
META,2025-12-09T14:00:00+00:00,2025-12-16T14:00:00+00:00,657.015,653.72,SHORT,0.6870177042456177,0.5,TIME_EXIT,151.57617906108115,97640.8841345412,True
XOM,2025-12-09T14:00:00+00:00,2025-12-09T15:00:00+00:00,120.05,120.36,LONG,0.6214059735529168,0.5,TAKE_PROFIT,58.10628463594758,97698.99041917713,True
XBI,2025-12-10T09:30:00+00:00,2025-12-17T09:30:00+00:00,121.0,121.85,SHORT,0.7301982213209336,0.5,TIME_EXIT,-228.36731211710983,97470.62310706002,False
USO,2025-12-10T14:00:00+00:00,2025-12-10T15:00:00+00:00,69.38,69.25,SHORT,0.7154845407641928,0.5,TAKE_PROFIT,87.47363612171759,97558.09674318174,True
MSFT,2025-12-10T14:00:00+00:00,2025-12-10T19:00:00+00:00,480.49,475.235,SHORT,0.615629059090216,0.5,TAKE_PROFIT,394.63506367213876,97952.73180685387,True
META,2025-12-10T14:00:00+00:00,2025-12-17T14:00:00+00:00,651.005,657.62,SHORT,0.701900017392232,0.5,TIME_EXIT,-358.8025441587055,97593.92926269516,False
