entry_date,exit_date,symbol,pnl,reason,mae,mfe
2026-03-02T09:30:00+00:00,2026-03-11T20:00:00+00:00,NVDA,8.25,TIME_EXIT,0.01565932518447587,0.056722807412831595
2026-03-02T09:30:00+00:00,2026-03-02T14:00:00+00:00,GLD,3.253392857142842,HARD_STOP,0.019863579991732147,0.0
2026-03-02T09:30:00+00:00,2026-03-02T14:00:00+00:00,SLV,1.5,HARD_STOP,0.0,0.05803413772807542
2026-03-02T14:00:00+00:00,2026-03-09T12:00:00+00:00,NVDA,-3.0348214285714334,HARD_STOP,0.018723049102795833,0.027653359298928915
2026-03-02T14:00:00+00:00,2026-03-03T14:00:00+00:00,TSLA,-4.980000000000018,HARD_STOP,0.016035353535353594,0.021376262626262563
2026-03-02T14:00:00+00:00,2026-03-02T15:00:00+00:00,GLD,3.2710714285714175,HARD_STOP,0.002948949500515287,0.0045305660146324435
2026-03-03T09:30:00+00:00,2026-03-03T17:00:00+00:00,GLD,23.670000000000016,HARD_STOP,0.0,0.06388662316476343
2026-03-03T14:00:00+00:00,2026-03-04T20:00:00+00:00,SPY,13.657499999999914,HARD_STOP,0.004052647233789445,0.021839678762641375
2026-03-03T14:00:00+00:00,2026-03-04T20:00:00+00:00,QQQ,16.399999999999977,HARD_STOP,0.005443731308175503,0.029671695957525595
2026-03-03T14:00:00+00:00,2026-03-09T13:00:00+00:00,NVDA,-2.627678571428561,HARD_STOP,0.017846153846153835,0.03325874125874122
2026-03-03T14:00:00+00:00,2026-03-05T13:00:00+00:00,TSLA,16.000000000000057,HARD_STOP,0.013413884906819601,0.04525906205201722
2026-03-03T14:00:00+00:00,2026-03-10T18:00:00+00:00,GLD,16.589999999999975,HARD_STOP,0.008081069985523236,0.03990838573064534
2026-03-03T14:00:00+00:00,2026-03-10T18:00:00+00:00,SLV,8.225000000000009,HARD_STOP,0.00027777777777772254,0.12868055555555558
2026-03-03T14:00:00+00:00,2026-03-05T14:00:00+00:00,AAPL,-3.257142857142867,HARD_STOP,0.01277504480799307,0.014376692216756212
2026-03-03T14:00:00+00:00,2026-03-06T14:00:00+00:00,GOOGL,-3.7762500000000045,HARD_STOP,0.014941337700972782,0.020991409566467133
2026-03-04T09:30:00+00:00,2026-03-05T19:00:00+00:00,SLV,-1.4943999999999988,HARD_STOP,0.022751605995717385,0.031250000000000104
2026-03-04T14:00:00+00:00,2026-03-04T15:00:00+00:00,AMZN,2.9544642857142946,HARD_STOP,0.012426407278989074,0.003699997672957512
2026-03-05T09:30:00+00:00,2026-03-05T15:00:00+00:00,SLV,-1.5101999999999975,HARD_STOP,0.024102767845318597,0.0
2026-03-05T09:30:00+00:00,2026-03-05T15:00:00+00:00,AMZN,2.881607142857149,HARD_STOP,0.013260764281266576,0.005004497128756292
2026-03-05T14:00:00+00:00,2026-03-05T19:00:00+00:00,SLV,-1.4967999999999932,HARD_STOP,0.024318546231961616,0.008685195082843286
2026-03-05T14:00:00+00:00,2026-03-06T14:00:00+00:00,AAPL,-3.302142857142826,HARD_STOP,0.021044127265032887,0.0061170315084829565
2026-03-05T14:00:00+00:00,2026-03-05T15:00:00+00:00,MSFT,4.376785714285745,HARD_STOP,0.001642735458749115,0.012022389875882205
2026-03-05T14:00:00+00:00,2026-03-05T15:00:00+00:00,AMZN,3.201964285714297,HARD_STOP,0.001915534069141731,0.016145215725622514
2026-03-06T09:30:00+00:00,2026-03-10T18:00:00+00:00,GLD,12.849999999999966,HARD_STOP,0.003622334154967308,0.031572178758975375
2026-03-06T09:30:00+00:00,2026-03-10T18:00:00+00:00,SLV,5.7050000000000125,HARD_STOP,0.0,0.09051261406333877
2026-03-06T09:30:00+00:00,2026-03-06T15:00:00+00:00,AAPL,-2.865000000000009,HARD_STOP,0.015829252304014153,0.0
2026-03-06T09:30:00+00:00,2026-03-06T14:00:00+00:00,AMZN,3.4724999999999966,HARD_STOP,0.0,0.024580801388952325
2026-03-06T14:00:00+00:00,2026-03-09T12:00:00+00:00,SPY,-4.660714285714334,HARD_STOP,0.009149703454236562,0.007510505766995615
