symbol,entry_date,exit_date,entry_price,exit_price,direction,confidence,game_score,reason,pnl,equity,win
ES,2026-04-01T09:30:00+00:00,2026-04-08T09:30:00+00:00,649.85,659.74,LONG,0.618989885606779,0.5,TIME_EXIT,470.1847324096757,100470.18473240967,True
NQ,2026-04-01T09:30:00+00:00,2026-04-08T09:30:00+00:00,577.38,588.7,LONG,0.621476866213811,0.5,TIME_EXIT,566.8097281831223,101036.9944605928,True
SILVER,2026-04-01T09:30:00+00:00,2026-04-01T13:00:00+00:00,68.16,68.2,LONG,0.7145881588746097,0.5,TAKE_PROFIT,8.857255832346198,101045.85171642515,True
SPY,2026-04-01T09:30:00+00:00,2026-04-08T09:30:00+00:00,649.85,659.74,LONG,0.618989885606779,0.5,TIME_EXIT,470.1847324096757,101516.03644883483,True
QQQ,2026-04-01T09:30:00+00:00,2026-04-08T09:30:00+00:00,577.38,588.7,LONG,0.621476866213811,0.5,TIME_EXIT,566.8097281831223,102082.84617701796,True
SLV,2026-04-01T09:30:00+00:00,2026-04-01T13:00:00+00:00,68.16,68.2,LONG,0.7145881588746097,0.5,TAKE_PROFIT,8.857255832346198,102091.7034328503,True
SMCI,2026-04-01T09:30:00+00:00,2026-04-08T09:30:00+00:00,22.76,22.67,LONG,0.6191230685979177,0.5,TIME_EXIT,-45.55446289118979,102046.14896995912,False
SOUN,2026-04-01T09:30:00+00:00,2026-04-01T13:00:00+00:00,6.88,6.935,LONG,0.7589521437480552,0.5,TAKE_PROFIT,89.76869986942692,102135.91766982854,True
META,2026-04-01T09:30:00+00:00,2026-04-08T09:30:00+00:00,573.72,574.48,LONG,0.7248686795706764,0.5,TIME_EXIT,26.777400276833802,102162.69507010537,True
VTI,2026-04-01T14:00:00+00:00,2026-04-08T13:00:00+00:00,324.14,327.77,LONG,0.6590370818815653,0.5,TAKE_PROFIT,349.059309093908,102511.75437919928,True
AMD,2026-04-01T14:00:00+00:00,2026-04-06T13:00:00+00:00,211.94,221.31,LONG,0.6748676408951821,0.5,TAKE_PROFIT,531.0406257596647,103042.79500495894,True
SMCI,2026-04-01T14:00:00+00:00,2026-04-08T14:00:00+00:00,23.06,22.94,LONG,0.6485831236701198,0.5,TIME_EXIT,-61.347571493134815,102981.4474334658,False
ARM,2026-04-01T14:00:00+00:00,2026-04-08T14:00:00+00:00,156.53,145.7,LONG,0.6859578617948525,0.5,TIME_EXIT,-817.937698361859,102163.50973510394,False
GOOGL,2026-04-01T14:00:00+00:00,2026-04-07T13:00:00+00:00,296.4,303.32,LONG,0.7695180569640607,0.5,TAKE_PROFIT,516.86886513091,102680.37860023485,True
UNH,2026-04-01T14:00:00+00:00,2026-04-02T14:00:00+00:00,272.75,277.75,LONG,0.799457795166175,0.5,TAKE_PROFIT,381.95741360398125,103062.33601383884,True
XBI,2026-04-01T14:00:00+00:00,2026-04-08T13:00:00+00:00,129.5,131.43,LONG,0.7067465897157322,0.5,TAKE_PROFIT,197.77438802036616,103260.1104018592,True
IBB,2026-04-01T14:00:00+00:00,2026-04-08T13:00:00+00:00,170.9,171.99,LONG,0.699771370798067,0.5,TAKE_PROFIT,141.4061430176701,103401.51654487687,True
XLE,2026-04-01T14:00:00+00:00,2026-04-01T17:00:00+00:00,58.96,58.6,SHORT,0.6916789577513699,0.5,TAKE_PROFIT,95.99179402560212,103497.50833890247,True
XOM,2026-04-01T14:00:00+00:00,2026-04-08T13:00:00+00:00,161.58,158.99,SHORT,0.6986060068067013,0.5,TAKE_PROFIT,191.1843896438725,103688.69272854633,True
CVX,2026-04-01T14:00:00+00:00,2026-04-01T15:00:00+00:00,197.79,197.35,SHORT,0.7189863699175658,0.5,TAKE_PROFIT,26.74179721789076,103715.43452576423,True
BAC,2026-04-01T14:00:00+00:00,2026-04-06T13:00:00+00:00,49.295,49.98,LONG,0.6706672810783025,0.5,TAKE_PROFIT,253.75297739505356,103969.18750315928,True
GS,2026-04-01T14:00:00+00:00,2026-04-01T15:00:00+00:00,866.7,868.0,LONG,0.7005432732200862,0.5,TAKE_PROFIT,24.307279659526856,103993.4947828188,True
PFE,2026-04-02T09:30:00+00:00,2026-04-02T14:00:00+00:00,28.56,28.64,LONG,0.6584460753136091,0.5,TAKE_PROFIT,67.87454204939358,104061.3693248682,True
VNQ,2026-04-03T09:30:00+00:00,2026-04-06T14:00:00+00:00,90.225,90.325,LONG,0.6508955010914199,0.5,TAKE_PROFIT,40.50206201135013,104101.87138687955,True
VNQ,2026-04-03T14:00:00+00:00,2026-04-06T14:00:00+00:00,90.225,90.325,LONG,0.6508955010914199,0.5,TAKE_PROFIT,40.51782594985885,104142.38921282941,True
VNQ,2026-04-06T09:30:00+00:00,2026-04-06T14:00:00+00:00,90.225,90.325,LONG,0.6508955010915547,0.5,TAKE_PROFIT,40.533596023901055,104182.92280885331,True
AAPL,2026-04-06T14:00:00+00:00,2026-04-07T13:00:00+00:00,259.92,250.41932999999997,LONG,0.6256542995390633,0.5,STOP_LOSS,-935.4196010121092,103247.5032078412,False
UNH,2026-04-06T14:00:00+00:00,2026-04-06T20:00:00+00:00,281.79,283.255,LONG,0.6760532145765062,0.5,TAKE_PROFIT,115.2344144318375,103362.73762227304,True
HYG,2026-04-07T09:30:00+00:00,2026-04-07T19:00:00+00:00,79.7,79.7,LONG,0.6545510145710002,0.5,TAKE_PROFIT,0.0,103362.73762227304,False
UNH,2026-04-07T09:30:00+00:00,2026-04-07T16:00:00+00:00,307.61,310.4,LONG,0.7910906626622343,0.5,TAKE_PROFIT,152.86906842073944,103515.60669069378,True
