symbol,entry_date,exit_date,entry_price,exit_price,direction,pnl,reason,equity,win
ES,2026-04-01T09:30:00+00:00,2026-04-08T09:30:00+00:00,649.85,659.74,LONG,38.04724167115482,TIME_EXIT,100038.04724167116,True
NQ,2026-04-01T09:30:00+00:00,2026-04-08T09:30:00+00:00,577.38,588.7,LONG,49.0145138383736,TIME_EXIT,100087.06175550952,True
SILVER,2026-04-01T09:30:00+00:00,2026-04-08T09:30:00+00:00,68.16,65.94,LONG,-81.42605633802819,TIME_EXIT,100005.6356991715,False
SPY,2026-04-01T09:30:00+00:00,2026-04-08T09:30:00+00:00,649.85,659.74,LONG,38.04724167115482,TIME_EXIT,100043.68294084266,True
QQQ,2026-04-01T09:30:00+00:00,2026-04-08T09:30:00+00:00,577.38,588.7,LONG,49.0145138383736,TIME_EXIT,100092.69745468102,True
SLV,2026-04-01T09:30:00+00:00,2026-04-08T09:30:00+00:00,68.16,65.94,LONG,-81.42605633802819,TIME_EXIT,100011.271398343,False
SMCI,2026-04-01T09:30:00+00:00,2026-04-08T09:30:00+00:00,22.76,22.67,LONG,-9.885764499121251,TIME_EXIT,100001.38563384388,False
SOUN,2026-04-01T09:30:00+00:00,2026-04-08T09:30:00+00:00,6.88,6.71,LONG,-61.77325581395349,TIME_EXIT,99939.61237802992,False
META,2026-04-01T09:30:00+00:00,2026-04-08T09:30:00+00:00,573.72,574.48,LONG,3.31172000278878,TIME_EXIT,99942.92409803272,True
VTI,2026-04-01T14:00:00+00:00,2026-04-08T14:00:00+00:00,324.14,332.27,LONG,62.668597898825034,TIME_EXIT,100005.59269593154,True
AMD,2026-04-01T14:00:00+00:00,2026-04-08T14:00:00+00:00,211.94,228.175,LONG,191.39536811498107,TIME_EXIT,100196.98806404653,True
SMCI,2026-04-01T14:00:00+00:00,2026-04-08T14:00:00+00:00,23.06,22.94,LONG,-13.002115017089837,TIME_EXIT,100183.98594902943,False
ARM,2026-04-01T14:00:00+00:00,2026-04-08T14:00:00+00:00,156.53,145.7,LONG,-172.8713134833093,TIME_EXIT,100011.11463554612,False
GOOGL,2026-04-01T14:00:00+00:00,2026-04-08T14:00:00+00:00,296.4,316.055,LONG,165.68641811292485,TIME_EXIT,100176.80105365904,True
UNH,2026-04-01T14:00:00+00:00,2026-04-08T13:00:00+00:00,272.75,310.03,LONG,341.50982679877694,HARD_STOP,100518.31088045782,True
XBI,2026-04-01T14:00:00+00:00,2026-04-08T14:00:00+00:00,129.5,130.23,LONG,14.084620577521784,TIME_EXIT,100532.39550103534,True
IBB,2026-04-01T14:00:00+00:00,2026-04-08T14:00:00+00:00,170.9,170.8,LONG,-1.4620088370103426,TIME_EXIT,100530.93349219832,False
XLE,2026-04-01T14:00:00+00:00,2026-04-01T15:00:00+00:00,58.96,75.29191999999998,SHORT,-692.1047493788762,TAKE_PROFIT_FULL,99838.82874281945,False
XOM,2026-04-01T14:00:00+00:00,2026-04-01T15:00:00+00:00,161.58,217.92195999999987,SHORT,-871.2371939309298,TAKE_PROFIT_FULL,98967.59154888852,False
CVX,2026-04-01T14:00:00+00:00,2026-04-01T15:00:00+00:00,197.79,265.9284399999999,SHORT,-860.7557178166678,TAKE_PROFIT_FULL,98106.83583107186,False
BAC,2026-04-01T14:00:00+00:00,2026-04-08T14:00:00+00:00,49.295,51.5,LONG,111.76293114725738,TIME_EXIT,98218.59876221912,True
GS,2026-04-01T14:00:00+00:00,2026-04-08T14:00:00+00:00,866.7,896.11,LONG,84.78485628600266,TIME_EXIT,98303.38361850512,True
PFE,2026-04-02T09:30:00+00:00,2026-04-07T13:00:00+00:00,28.56,27.557415000000002,LONG,-86.27231955983777,HARD_STOP,98217.11129894528,False
VNQ,2026-04-03T09:30:00+00:00,2026-04-10T09:30:00+00:00,90.225,92.795,LONG,69.94125132676372,TIME_EXIT,98287.05255027204,True
VNQ,2026-04-03T14:00:00+00:00,2026-04-10T13:00:00+00:00,90.225,92.77249999999998,LONG,69.37829492153415,HARD_STOP,98356.43084519358,True
