Date,VIX,VIX9D,VIX3M,VVIX,MOVE,vix9d_vix,vix_vix3m,backwardation
2015-01-02,17.790000915527344,16.469999313354492,19.459999084472656,112.55000305175781,70.0,0.9258009255625874,0.9141830294186487,0
2015-01-05,19.920000076293945,19.450000762939453,20.790000915527344,121.87000274658203,71.5,0.9764056570504825,0.9581529196286074,0
2015-01-06,21.1200008392334,20.530000686645508,21.420000076293945,118.44999694824219,84.9000015258789,0.97206438782465,0.9859944334270772,0
2015-01-07,19.309999465942383,17.59000015258789,20.079999923706055,107.69000244140625,85.19999694824219,0.9109270139345107,0.9616533635114897,0
2015-01-08,17.010000228881836,15.039999961853027,18.65999984741211,98.44000244140625,85.19999694824219,0.8841857589346835,0.9115755824210735,0
2015-01-09,17.549999237060547,15.199999809265137,19.31999969482422,103.7699966430664,80.5999984741211,0.8660968928800357,0.9083850680267945,0
2015-01-12,19.600000381469727,18.200000762939453,20.479999542236328,109.04000091552734,81.9000015258789,0.9285714494243651,0.9570312900177678,0
2015-01-13,20.559999465942383,19.6299991607666,21.270000457763672,109.22000122070312,83.0,0.9547665209468353,0.9666196061804909,0
2015-01-14,21.479999542236328,21.229999542236328,20.93000030517578,113.5,85.30000305175781,0.9883612660461923,1.0262780329212198,1
2015-01-15,22.389999389648438,23.729999542236328,22.110000610351562,117.06999969482422,85.30000305175781,1.0598481549404335,1.0126638974024174,1
2015-01-16,20.950000762939453,21.479999542236328,21.149999618530273,111.31999969482422,92.5999984741211,1.0252982701668651,0.9905437891632114,0
2015-01-20,19.889999389648438,21.940000534057617,20.8700008392334,108.4000015258789,90.5999984741211,1.1030669284724104,0.9530425773753367,0
2015-01-21,18.850000381469727,20.360000610351562,20.040000915527344,98.62000274658203,88.30000305175781,1.0801061113169115,0.9406187385383009,0
2015-01-22,16.399999618530273,15.579999923706055,18.600000381469727,93.25,85.0999984741211,0.9500000174452623,0.881720391515088,0
2015-01-23,16.65999984741211,16.079999923706055,19.0,96.33000183105469,89.9000015258789,0.9651860786903819,0.8768420972322163,0
2015-01-26,15.520000457763672,14.890000343322754,18.030000686645508,91.94000244140625,85.30000305175781,0.9594072103183625,0.8607875688689826,0
2015-01-27,17.219999313354492,17.559999465942383,19.110000610351562,96.11000061035156,86.19999694824219,1.0197444928075121,0.9010988363876196,0
2015-01-28,20.440000534057617,21.780000686645508,21.440000534057617,108.68000030517578,86.4000015258789,1.065557735693556,0.953358210117043,0
2015-01-29,18.760000228881836,18.780000686645508,20.0,100.69999694824219,86.5999984741211,1.001066122469065,0.9380000114440918,0
2015-01-30,20.969999313354492,21.170000076293945,21.81999969482422,108.98999786376953,,1.00953747112486,0.9610448948965225,0
2015-02-02,19.43000030517578,19.389999389648438,20.90999984741211,106.73999786376953,88.0999984741211,0.9979412807566097,0.9292204900508645,0
2015-02-03,17.329999923706055,16.540000915527344,19.489999771118164,101.02999877929688,92.69999694824219,0.9544143674750941,0.8891739418790056,0
