pair,entry_date,exit_date,direction,entry,exit,pnl_pct,risk_pct,risk_adjusted_pnl_pct,hold_days,exit_reason,units
EURUSD=X,2025-02-07 00:00:00,2025-02-14 00:00:00,-1,1.0385725498199463,1.0461673736572266,-0.007527242148470182,0.0077345,-5.821945439734263e-05,6,trailing_stop,1
EURUSD=X,2025-03-14 00:00:00,2025-04-03 00:00:00,-1,1.085564136505127,1.090869426727295,-0.00512889763915358,0.0077345,-3.9669458790033365e-05,15,trailing_stop,1
EURUSD=X,2025-05-05 00:00:00,2025-05-09 00:00:00,1,1.1323232650756836,1.122422695159912,-0.008948984721304043,0.0077345,-6.921592232692612e-05,5,time,1
EURUSD=X,2025-06-03 00:00:00,2025-06-09 00:00:00,1,1.1453442573547363,1.1407841444015503,-0.004184821447233816,0.0077345,-3.236750148362995e-05,5,time,1
EURUSD=X,2025-07-03 00:00:00,2025-07-14 00:00:00,-1,1.18002450466156,1.1682106256484985,0.00981466870291755,0.0077345,7.591155508271578e-05,8,time,1
EURUSD=X,2025-08-05 00:00:00,2025-08-11 00:00:00,1,1.1584129333496094,1.1647952795028687,0.005308143381831418,0.0077345,4.10558349867751e-05,5,time,1
EURUSD=X,2025-09-03 00:00:00,2025-09-09 00:00:00,1,1.163602590560913,1.1769136190414429,0.011238850005520676,0.0077345,8.692688536769967e-05,5,time,1
EURUSD=X,2025-10-03 00:00:00,2025-10-09 00:00:00,1,1.1725116968154907,1.1631964445114136,-0.008144039943098568,0.0077345,-6.299007693989588e-05,5,time,1
EURUSD=X,2025-11-04 00:00:00,2025-11-10 00:00:00,1,1.1519144773483276,1.1543878316879272,0.0019447772537504078,0.0077345,1.504187966913253e-05,5,time,1
EURUSD=X,2025-12-03 00:00:00,2025-12-09 00:00:00,1,1.1628988981246948,1.1641442775726318,0.0008701755531760528,0.0077345,6.73037281604018e-06,5,time,1
EURUSD=X,2026-01-05 00:00:00,2026-01-09 00:00:00,1,1.1706448793411255,1.1657865047454834,-0.004349782560940332,0.0077345,-3.3643393217593e-05,5,time,1
EURUSD=X,2026-02-03 00:00:00,2026-02-09 00:00:00,1,1.1799131631851196,1.182578206062317,0.002060406007507044,0.0077345,1.5936210265063232e-05,5,time,1
EURUSD=X,2026-04-03 00:00:00,2026-04-08 00:00:00,-1,1.1543878316879272,1.1686612367630005,-0.012548690745851611,0.0077345,-9.705784857378928e-05,4,trailing_stop,1
GBPUSD=X,2025-01-03 00:00:00,2025-01-09 00:00:00,-1,1.2380222082138062,1.2359870672225952,0.0014508194327715889,0.007125,1.033708845849757e-05,5,time,1
GBPUSD=X,2025-02-04 00:00:00,2025-02-10 00:00:00,-1,1.2435646057128906,1.2391574382781982,0.003351726213635386,0.007125,2.3881049272152128e-05,5,time,1
GBPUSD=X,2025-02-12 00:00:00,2025-02-21 00:00:00,-1,1.2452524900436401,1.2670401334762573,-0.017695155652414064,0.007125,-0.0001260779840234502,8,trailing_stop,1
GBPUSD=X,2025-04-03 00:00:00,2025-04-09 00:00:00,-1,1.3044782876968384,1.2790995836257935,0.01927106828429796,0.007125,0.00013730636152562296,5,time,1
GBPUSD=X,2025-05-05 00:00:00,2025-05-09 00:00:00,-1,1.327087163925171,1.323539137840271,0.002492425053492678,0.007125,1.775852850613533e-05,5,time,1
GBPUSD=X,2025-05-13 00:00:00,2025-05-21 00:00:00,-1,1.3178355693817139,1.3397821187973022,-0.016840147277666133,0.007125,-0.0001199860493533712,7,trailing_stop,1
GBPUSD=X,2025-06-03 00:00:00,2025-06-09 00:00:00,-1,1.3557300567626953,1.3538211584091187,0.0012304057900679108,0.007125,8.766641254233865e-06,5,time,1
GBPUSD=X,2025-07-03 00:00:00,2025-07-14 00:00:00,-1,1.3651504516601562,1.3493820428848267,0.011367602487086879,0.007125,8.099416772049402e-05,8,time,1
GBPUSD=X,2025-08-05 00:00:00,2025-08-08 00:00:00,1,1.3299994468688965,1.345152735710144,0.011214890707419158,0.007125,7.99060962903615e-05,4,reversal,1
GBPUSD=X,2025-08-11 00:00:00,2025-08-29 00:00:00,-1,1.3443931341171265,1.35111403465271,-0.005208877726856561,0.007125,-3.7113253803853e-05,15,time,1
GBPUSD=X,2025-09-03 00:00:00,2025-09-09 00:00:00,1,1.3383656740188599,1.3553073406219482,0.012471080350327578,0.007125,8.8856447496084e-05,5,time,1
GBPUSD=X,2025-10-03 00:00:00,2025-10-09 00:00:00,1,1.3445920944213867,1.3401411771774292,-0.0034968681585342137,0.007125,-2.4915185629556273e-05,5,time,1
GBPUSD=X,2025-11-04 00:00:00,2025-11-10 00:00:00,1,1.3131803274154663,1.3142677545547485,0.0006375407744858867,0.007125,4.542478018211943e-06,5,time,1
GBPUSD=X,2025-12-03 00:00:00,2025-12-09 00:00:00,1,1.3220866918563843,1.3326793909072876,0.007822688943107073,0.007125,5.5736658719637894e-05,5,time,1
GBPUSD=X,2025-12-22 00:00:00,2026-01-12 00:00:00,-1,1.3380074501037598,1.3394231796264648,-0.001261963575622178,0.007125,-8.991490476308018e-06,14,time,1
GBPUSD=X,2026-04-03 00:00:00,2026-04-09 00:00:00,1,1.323364019393921,1.3394052982330322,0.01193233540203318,0.007125,8.501788973948641e-05,5,time,1
USDJPY=X,2025-02-04 00:00:00,2025-02-06 00:00:00,1,155.27699279785156,152.6060028076172,-0.017262940525981915,0.005625,-9.710404045864827e-05,3,trailing_stop,1
USDJPY=X,2025-03-04 00:00:00,2025-03-10 00:00:00,1,149.30499267578125,147.60800170898438,-0.011408621837940839,0.005625,-6.417349783841722e-05,5,reversal,1
USDJPY=X,2025-03-11 00:00:00,2025-03-18 00:00:00,-1,147.06900024414062,149.37899780273438,-0.015865883090375323,0.005625,-8.924559238336119e-05,6,trailing_stop,1
USDJPY=X,2025-04-03 00:00:00,2025-04-07 00:00:00,1,147.8719940185547,145.43299865722656,-0.016559353277649475,0.005625,-9.31463621867783e-05,3,trailing_stop,1
USDJPY=X,2025-05-05 00:00:00,2025-05-09 00:00:00,1,144.62399291992188,146.01499938964844,0.009572780168912658,0.005625,5.38468884501337e-05,5,time,1
USDJPY=X,2025-06-03 00:00:00,2025-06-09 00:00:00,1,142.45199584960938,144.6909942626953,0.015670979630305004,0.005625,8.814926042046564e-05,5,time,1
USDJPY=X,2025-08-04 00:00:00,2025-08-04 00:00:00,1,147.34300231933594,147.34300231933594,-7.664185543543644e-05,0.005625,-4.311104368243299e-07,1,reversal,1
USDJPY=X,2025-08-05 00:00:00,2025-08-11 00:00:00,-1,146.79299926757812,147.66400146484375,-0.0060830927253953905,0.005625,-3.421739658034907e-05,5,time,1
USDJPY=X,2025-09-02 00:00:00,2025-09-02 00:00:00,1,147.08399963378906,147.08399963378906,-7.678646422519975e-05,0.005625,-4.3192386126674856e-07,1,reversal,1
USDJPY=X,2025-09-03 00:00:00,2025-09-09 00:00:00,-1,148.54800415039062,147.36399841308594,0.007821947615753623,0.005625,4.3998455338614125e-05,5,time,1
USDJPY=X,2025-10-02 00:00:00,2025-10-02 00:00:00,1,147.08299255371094,147.08299255371094,-7.678702750151033e-05,0.005625,-4.319270296959956e-07,1,reversal,1
USDJPY=X,2025-10-03 00:00:00,2025-10-06 00:00:00,-1,147.14999389648438,149.6060028076172,-0.016791920273870373,0.005625,-9.445455154052084e-05,2,trailing_stop,1
USDJPY=X,2026-01-05 00:00:00,2026-01-12 00:00:00,-1,156.96600341796875,158.1490020751953,-0.0076904543569963155,0.005625,-4.325880575810427e-05,6,trailing_stop,1
USDJPY=X,2026-04-02 00:00:00,2026-04-02 00:00:00,1,158.69900512695312,158.68800354003906,-0.00014008911591186125,0.005625,-7.880012770042195e-07,1,reversal,1
USDJPY=X,2026-04-03 00:00:00,2026-04-09 00:00:00,-1,159.45599365234375,158.64199829101562,0.00496182133184845,0.005625,2.791024499164753e-05,5,time,1
