pair,entry_date,exit_date,direction,entry,exit,pnl_pct,risk_pct,risk_adjusted_pnl_pct,hold_days,exit_reason,units
EURUSD=X,2015-04-03 00:00:00,2015-04-09 00:00:00,1,1.0870983600616455,1.078527569770813,-0.00809684137770486,0.0075,-6.072631033278644e-05,5,trailing_stop,1
EURUSD=X,2016-01-05 00:00:00,2016-01-05 00:00:00,-1,1.082602620124817,1.0827549695968628,-0.0003282049202694325,0.0075,-2.4615369020207437e-06,1,reversal,1
EURUSD=X,2016-01-06 00:00:00,2016-01-15 00:00:00,1,1.0751993656158447,1.085894227027893,0.009719755675974722,0.0075,7.289816756981041e-05,8,time,1
EURUSD=X,2016-02-03 00:00:00,2016-02-09 00:00:00,1,1.0922038555145264,1.1189812421798706,0.02430495641298736,0.0075,0.0001822871730974052,5,time,1
EURUSD=X,2016-03-03 00:00:00,2016-03-09 00:00:00,1,1.0870037078857422,1.1004005670547485,0.012111816274237975,0.0075,9.083862205678481e-05,5,time,1
EURUSD=X,2016-04-05 00:00:00,2016-04-14 00:00:00,-1,1.1387057304382324,1.1279042959213257,0.009282676653929263,0.0075,6.962007490446947e-05,8,time,1
EURUSD=X,2016-05-03 00:00:00,2016-05-09 00:00:00,1,1.1526048183441162,1.1387965679168701,-0.012182325918374898,0.0075,-9.136744438781173e-05,5,trailing_stop,1
EURUSD=X,2016-06-03 00:00:00,2016-06-09 00:00:00,1,1.1153992414474487,1.140706181526184,0.022480608126200785,0.0075,0.0001686045609465059,5,time,1
EURUSD=X,2016-07-05 00:00:00,2016-07-11 00:00:00,1,1.1145538091659546,1.1043988466262817,-0.009319446904303991,0.0075,-6.989585178227993e-05,5,time,1
EURUSD=X,2016-08-03 00:00:00,2016-08-08 00:00:00,1,1.1218559741973877,1.1089547872543335,-0.01169457462711236,0.0075,-8.77093097033427e-05,4,trailing_stop,1
EURUSD=X,2016-09-05 00:00:00,2016-09-07 00:00:00,-1,1.116071343421936,1.1253657341003418,-0.00851519387496451,0.0075,-6.386395406223382e-05,3,trailing_stop,1
EURUSD=X,2016-10-04 00:00:00,2016-10-10 00:00:00,-1,1.1213276386260986,1.1196954250335693,0.0012580700147908988,0.0075,9.43552511093174e-06,5,time,1
EURUSD=X,2016-12-05 00:00:00,2016-12-06 00:00:00,-1,1.0570825338363647,1.0757315158843994,-0.017836615096334184,0.0075,-0.00013377461322250638,2,stop,1
EURUSD=X,2017-01-03 00:00:00,2017-01-03 00:00:00,-1,1.0459157228469849,1.0460032224655151,-0.0002776181050881247,0.0075,-2.082135788160935e-06,1,reversal,1
EURUSD=X,2017-01-04 00:00:00,2017-01-13 00:00:00,1,1.0418403148651123,1.0616837739944458,0.01881348177284327,0.0075,0.0001411011132963245,8,time,1
EURUSD=X,2017-02-03 00:00:00,2017-02-09 00:00:00,-1,1.0763335227966309,1.0692213773727417,0.006402758313442664,0.0075,4.8020687350819976e-05,5,time,1
EURUSD=X,2017-03-03 00:00:00,2017-03-06 00:00:00,-1,1.0508506298065186,1.062044620513916,-0.010848115297926824,0.0075,-8.136086473445118e-05,2,trailing_stop,1
EURUSD=X,2017-04-04 00:00:00,2017-04-10 00:00:00,-1,1.0670194625854492,1.0582010746002197,0.008057889194862953,0.0075,6.0434168961472144e-05,5,time,1
EURUSD=X,2017-05-03 00:00:00,2017-05-09 00:00:00,-1,1.0935654640197754,1.0927767753601074,0.0005191423741840458,0.0075,3.893567806380344e-06,5,time,1
EURUSD=X,2017-06-05 00:00:00,2017-06-09 00:00:00,-1,1.127548336982727,1.1184805631637573,0.007845472618903275,0.0075,5.884104464177456e-05,5,time,1
EURUSD=X,2017-07-04 00:00:00,2017-07-10 00:00:00,-1,1.1375269889831543,1.140380859375,-0.002703835608054576,0.0075,-2.027876706040932e-05,5,time,1
EURUSD=X,2017-08-03 00:00:00,2017-08-09 00:00:00,-1,1.1851431131362915,1.1754610538482666,0.007981593455797527,0.0075,5.986195091848145e-05,5,time,1
EURUSD=X,2017-09-05 00:00:00,2017-09-08 00:00:00,-1,1.18944251537323,1.2029062509536743,-0.011498471250308931,0.0075,-8.623853437731698e-05,4,trailing_stop,1
EURUSD=X,2017-10-03 00:00:00,2017-10-09 00:00:00,-1,1.1733232736587524,1.1742464303970337,-0.0009764221456959598,0.0075,-7.3231660927196975e-06,5,time,1
EURUSD=X,2018-01-03 00:00:00,2018-01-09 00:00:00,1,1.2061998844146729,1.1970456838607788,-0.007783866982572912,0.0075,-5.837900236929684e-05,5,trailing_stop,1
EURUSD=X,2018-02-05 00:00:00,2018-02-08 00:00:00,1,1.2447099685668945,1.2268133163452148,-0.01455528891467267,0.0075,-0.00010916466686004502,4,trailing_stop,1
EURUSD=X,2018-05-03 00:00:00,2018-05-09 00:00:00,-1,1.1951714754104614,1.1867886781692505,0.006827368551127719,0.0075,5.120526413345789e-05,5,time,1
EURUSD=X,2018-06-05 00:00:00,2018-06-11 00:00:00,-1,1.1701792478561401,1.1783976554870605,-0.007213296116966098,0.0075,-5.409972087724573e-05,5,time,1
EURUSD=X,2018-07-03 00:00:00,2018-07-03 00:00:00,-1,1.1640766859054565,1.1642121076583862,-0.0002908837606867269,0.0075,-2.181628205150452e-06,1,reversal,1
EURUSD=X,2018-07-04 00:00:00,2018-07-13 00:00:00,1,1.16593599319458,1.1665889024734497,0.000347355346632311,0.0075,2.6051650997423322e-06,8,time,1
EURUSD=X,2018-08-03 00:00:00,2018-08-09 00:00:00,-1,1.1585606336593628,1.1610760688781738,-0.0023629787775721477,0.0075,-1.772234083179111e-05,5,time,1
EURUSD=X,2018-09-04 00:00:00,2018-09-10 00:00:00,-1,1.16130530834198,1.1561094522476196,0.00428275359630283,0.0075,3.2120651972271226e-05,5,time,1
EURUSD=X,2018-10-02 00:00:00,2018-10-12 00:00:00,-1,1.157755732536316,1.1590440273284912,-0.0013156368118258206,0.0075,-9.867276088693654e-06,9,trailing_stop,1
EURUSD=X,2018-11-02 00:00:00,2018-11-19 00:00:00,-1,1.1402769088745117,1.141396164894104,-0.001200796710120859,0.0075,-9.005975325906443e-06,12,trailing_stop,1
EURUSD=X,2018-12-04 00:00:00,2018-12-10 00:00:00,-1,1.135589361190796,1.1400948762893677,-0.004162854713361891,0.0075,-3.122141035021418e-05,5,time,1
EURUSD=X,2019-01-02 00:00:00,2019-01-02 00:00:00,-1,1.1461317539215088,1.14617121219635,-0.00021166708016611733,0.0075,-1.5875031012458799e-06,1,reversal,1
EURUSD=X,2019-01-03 00:00:00,2019-01-09 00:00:00,1,1.131733775138855,1.1456066370010376,0.01205257405653626,0.0075,9.039430542402195e-05,5,time,1
EURUSD=X,2019-02-04 00:00:00,2019-02-04 00:00:00,-1,1.1457247734069824,1.1455278396606445,-5.4159827805267995e-06,0.0075,-4.0619870853951e-08,1,reversal,1
EURUSD=X,2019-02-05 00:00:00,2019-02-08 00:00:00,1,1.14357590675354,1.1338768005371094,-0.008672712205561003,0.0075,-6.504534154170753e-05,4,trailing_stop,1
EURUSD=X,2019-03-04 00:00:00,2019-03-04 00:00:00,-1,1.1375269889831543,1.1375917196273804,-0.0002354644409483885,0.0075,-1.7659833071129135e-06,1,reversal,1
EURUSD=X,2019-03-05 00:00:00,2019-03-08 00:00:00,1,1.133825421333313,1.1198333501815796,-0.012533419264075482,0.0075,-9.400064448056612e-05,4,stop,1
EURUSD=X,2019-04-02 00:00:00,2019-04-11 00:00:00,-1,1.1205987930297852,1.1276500225067139,-0.006498249738459584,0.0075,-4.873687303844688e-05,8,trailing_stop,1
EURUSD=X,2019-05-02 00:00:00,2019-05-02 00:00:00,-1,1.1201846599578857,1.1200841665267944,-9.157023091259593e-05,0.0075,-6.867767318444695e-07,1,reversal,1
EURUSD=X,2019-05-03 00:00:00,2019-05-09 00:00:00,1,1.1172560453414917,1.1198333501815796,0.002099039524078656,0.0075,1.574279643058992e-05,5,time,1
EURUSD=X,2019-06-04 00:00:00,2019-06-10 00:00:00,-1,1.1245558261871338,1.1320157051086426,-0.0068306486585170976,0.0075,-5.122986493887823e-05,5,trailing_stop,1
EURUSD=X,2019-07-03 00:00:00,2019-07-09 00:00:00,1,1.1290887594223022,1.121604323387146,-0.006834641303709006,0.0075,-5.125980977781754e-05,5,time,1
EURUSD=X,2019-08-05 00:00:00,2019-08-15 00:00:00,1,1.1107407808303833,1.1143302917480469,0.0030063714286449046,0.0075,2.2547785714836783e-05,9,trailing_stop,1
EURUSD=X,2019-10-07 00:00:00,2019-10-24 00:00:00,1,1.098659634590149,1.1132385730743408,0.013013737213372635,0.0075,9.760302910029476e-05,14,time,1
EURUSD=X,2019-11-05 00:00:00,2019-11-08 00:00:00,1,1.1128298044204712,1.1019697189331055,-0.009955141869884075,0.0075,-7.466356402413056e-05,4,stop,1
