market,report_date,open_interest,noncomm_long,noncomm_short,net_spec,net_spec_pct_oi,published_date
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2021-06-22,28494,4844,2303,2541,8.917666877237313,2021-06-25
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2021-06-29,28766,4827,3010,1817,6.316484738927901,2021-07-02
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2021-07-06,28787,4940,2948,1992,6.919790183068747,2021-07-09
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2021-07-13,29169,5014,2856,2158,7.398265281634613,2021-07-16
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2021-07-20,30235,4916,3360,1556,5.14635356375062,2021-07-23
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2021-07-27,29780,4973,3228,1745,5.859637340496978,2021-07-30
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2021-08-03,30147,4957,3707,1250,4.1463495538527875,2021-08-06
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2021-08-10,29911,4905,3424,1481,4.951355688542677,2021-08-13
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2021-08-17,30114,4918,3554,1364,4.5294547386597594,2021-08-20
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2021-08-24,30662,3946,4227,-281,-0.9164438066662318,2021-08-27
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2021-08-31,30625,3944,4388,-444,-1.449795918367347,2021-09-03
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2021-09-07,32796,3930,5767,-1837,-5.601292840590316,2021-09-10
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2021-09-14,28553,3943,3017,926,3.2430917942072637,2021-09-17
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2021-09-21,29470,3948,3411,537,1.8221920597217511,2021-09-24
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2021-09-28,30150,4060,4042,18,0.05970149253731343,2021-10-01
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2021-10-05,30047,4057,3966,91,0.3028588544613439,2021-10-08
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2021-10-12,30992,4066,4424,-358,-1.1551368094992256,2021-10-15
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2021-10-19,31327,4524,4406,118,0.3766718804864813,2021-10-22
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2021-10-26,32742,5272,6305,-1033,-3.1549691527701422,2021-10-29
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2021-11-02,33385,5481,7202,-1721,-5.155009734910888,2021-11-05
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2021-11-09,33590,5346,7126,-1780,-5.299196189342066,2021-11-12
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2021-11-16,32357,4308,6929,-2621,-8.10025651327379,2021-11-19
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2021-11-23,32794,3813,6331,-2518,-7.678233823260353,2021-11-26
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2021-11-30,32927,3804,6971,-3167,-9.618246423907431,2021-12-03
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,2021-12-07,37208,4404,7149,-2745,-7.377445710599871,2021-12-10
