market,report_date,open_interest,noncomm_long,noncomm_short,net_spec,net_spec_pct_oi,published_date
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2022-04-05,238266,35873,77631,-41758,-17.525790503051212,2022-04-08
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2022-04-12,246152,35514,88568,-53054,-21.553349150118624,2022-04-15
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2022-04-19,249529,36811,95725,-58914,-23.610081393345062,2022-04-22
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2022-04-26,272792,40436,110057,-69621,-25.52164286342708,2022-04-29
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2022-05-03,268496,33536,107349,-73813,-27.491284786365533,2022-05-06
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2022-05-10,264594,29469,109067,-79598,-30.083070666757372,2022-05-13
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2022-05-17,253811,26613,105854,-79241,-31.220475077912308,2022-05-20
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2022-05-24,253864,25936,106308,-80372,-31.65947121293291,2022-05-27
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2022-05-31,252881,30788,104893,-74105,-29.30429727816641,2022-06-03
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2022-06-07,258623,34618,105428,-70810,-27.379622075376126,2022-06-10
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2022-06-14,238322,29343,94939,-65596,-27.524106041406167,2022-06-17
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2022-06-21,228266,28470,91717,-63247,-27.707586762811808,2022-06-24
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2022-06-28,228736,35184,88302,-53118,-23.222404868494685,2022-07-01
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2022-07-05,240926,39618,95826,-56208,-23.3299851406656,2022-07-08
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2022-07-12,231945,33850,92939,-59089,-25.475435986979672,2022-07-15
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2022-07-19,228051,31943,89193,-57250,-25.104033746837327,2022-07-22
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2022-07-26,225889,34606,88596,-53990,-23.90111957642913,2022-07-29
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2022-08-02,226987,29305,85714,-56409,-24.851202932326522,2022-08-05
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2022-08-09,224581,42219,76687,-34468,-15.347691924071938,2022-08-12
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2022-08-16,227752,44084,77193,-33109,-14.537303733885981,2022-08-19
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2022-08-23,248007,58783,86749,-27966,-11.276294620716351,2022-08-26
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2022-08-30,262004,58477,87647,-29170,-11.133417810415109,2022-09-02
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2022-09-06,280937,52731,103163,-50432,-17.951355642012263,2022-09-09
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2022-09-13,303965,41129,109215,-68086,-22.399289391870774,2022-09-16
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2022-09-20,266295,41289,96132,-54843,-20.594829042978652,2022-09-23
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2022-09-27,281805,59831,106255,-46424,-16.473802806905486,2022-09-30
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2022-10-04,256906,42078,91617,-49539,-19.282928386258007,2022-10-07
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2022-10-11,255649,48979,88149,-39170,-15.321788858943316,2022-10-14
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2022-10-18,258826,40328,91539,-51211,-19.785879316606522,2022-10-21
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2022-10-25,258969,43511,91316,-47805,-18.459738424290165,2022-10-28
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2022-11-01,243549,34979,79815,-44836,-18.409437115323815,2022-11-04
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2022-11-08,237334,36630,76365,-39735,-16.74222825216783,2022-11-11
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2022-11-15,230102,34699,67533,-32834,-14.269324038904486,2022-11-18
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2022-11-22,222317,30917,66859,-35942,-16.167004772464544,2022-11-25
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2022-11-29,225480,26000,62584,-36584,-16.224942345219088,2022-12-02
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2022-12-06,230311,28539,56732,-28193,-12.241273755921341,2022-12-09
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2022-12-13,240264,32008,57747,-25739,-10.712799254153763,2022-12-16
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2022-12-20,187766,35284,40887,-5603,-2.9840333180661034,2022-12-23
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2022-12-27,195440,40585,51472,-10887,-5.570507572656569,2022-12-30
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2023-01-03,205722,43625,63926,-20301,-9.868171610231283,2023-01-06
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,2023-01-10,202713,36007,65463,-29456,-14.530888497530992,2023-01-13
